Agency,SKU,Volume
Agency_23,SKU_06,0
Agency_34,SKU_20,0
Agency_24,SKU_02,0
Agency_40,SKU_06,0
Agency_42,SKU_32,0
Agency_08,SKU_02,0
Agency_35,SKU_26,0
Agency_13,SKU_18,0
Agency_40,SKU_27,0
Agency_07,SKU_04,0
Agency_56,SKU_12,0
Agency_11,SKU_14,0
Agency_21,SKU_28,0
Agency_18,SKU_08,0
Agency_50,SKU_12,0
Agency_60,SKU_21,0
Agency_17,SKU_28,0
Agency_29,SKU_06,0
Agency_56,SKU_14,0
Agency_11,SKU_24,0
Agency_26,SKU_21,0
Agency_08,SKU_24,0
Agency_01,SKU_32,0
Agency_33,SKU_22,0
Agency_02,SKU_34,0
Agency_47,SKU_07,0
Agency_41,SKU_14,0
Agency_01,SKU_26,0
Agency_42,SKU_05,0
Agency_03,SKU_18,0
Agency_36,SKU_02,0
Agency_10,SKU_26,0
Agency_40,SKU_08,0
Agency_31,SKU_06,0
Agency_35,SKU_12,0
Agency_07,SKU_03,0
Agency_37,SKU_04,0
Agency_08,SKU_23,0
Agency_31,SKU_26,0
Agency_50,SKU_08,0
Agency_37,SKU_28,0
Agency_08,SKU_03,0
Agency_44,SKU_05,0
Agency_50,SKU_03,0
Agency_31,SKU_02,0
Agency_16,SKU_12,0
Agency_49,SKU_03,0
Agency_32,SKU_12,0
Agency_54,SKU_14,0
Agency_38,SKU_23,0
Agency_11,SKU_28,0
Agency_02,SKU_32,0
Agency_16,SKU_06,0
Agency_08,SKU_08,0
Agency_01,SKU_06,0
Agency_29,SKU_21,0
Agency_02,SKU_05,0
Agency_29,SKU_26,0
Agency_48,SKU_06,0
Agency_25,SKU_27,0
Agency_54,SKU_07,0
Agency_16,SKU_23,0
Agency_54,SKU_15,0
Agency_49,SKU_18,0
Agency_55,SKU_12,0
Agency_41,SKU_12,0
Agency_23,SKU_18,0
Agency_46,SKU_21,0
Agency_50,SKU_28,0
Agency_40,SKU_02,0
Agency_31,SKU_20,0
Agency_37,SKU_01,0
Agency_07,SKU_21,0
Agency_59,SKU_15,0
Agency_17,SKU_03,0
Agency_17,SKU_14,0
Agency_10,SKU_14,0
Agency_58,SKU_07,0
Agency_31,SKU_22,0
Agency_18,SKU_20,0
Agency_23,SKU_01,0
Agency_20,SKU_14,0
Agency_34,SKU_12,0
Agency_57,SKU_20,0
Agency_40,SKU_31,0
Agency_02,SKU_27,0
Agency_59,SKU_34,0
Agency_60,SKU_31,0
Agency_12,SKU_12,0
Agency_25,SKU_14,0
Agency_58,SKU_23,0
Agency_60,SKU_02,0
Agency_30,SKU_24,0
Agency_02,SKU_21,0
Agency_60,SKU_27,0
Agency_37,SKU_11,0
Agency_49,SKU_01,0
Agency_48,SKU_07,0
Agency_13,SKU_04,0
Agency_45,SKU_12,0
Agency_44,SKU_02,0
Agency_02,SKU_22,0
Agency_56,SKU_20,0
Agency_40,SKU_15,0
Agency_54,SKU_28,0
Agency_46,SKU_02,0
Agency_39,SKU_34,0
Agency_31,SKU_01,0
Agency_04,SKU_23,0
Agency_03,SKU_26,0
Agency_33,SKU_24,0
Agency_42,SKU_24,0
Agency_02,SKU_18,0
Agency_57,SKU_18,0
Agency_09,SKU_01,0
Agency_38,SKU_27,0
Agency_30,SKU_31,0
Agency_43,SKU_05,0
Agency_36,SKU_24,0
Agency_20,SKU_18,0
Agency_56,SKU_27,0
Agency_53,SKU_12,0
Agency_41,SKU_24,0
Agency_12,SKU_21,0
Agency_37,SKU_20,0
Agency_37,SKU_22,0
Agency_27,SKU_02,0
Agency_27,SKU_11,0
Agency_57,SKU_22,0
Agency_59,SKU_27,0
Agency_28,SKU_12,0
Agency_19,SKU_02,0
Agency_48,SKU_24,0
Agency_50,SKU_17,0
Agency_46,SKU_11,0
Agency_12,SKU_31,0
Agency_42,SKU_28,0
Agency_37,SKU_14,0
Agency_20,SKU_15,0
Agency_35,SKU_24,0
Agency_43,SKU_27,0
Agency_34,SKU_21,0
Agency_25,SKU_03,0
Agency_57,SKU_07,0
Agency_02,SKU_23,0
Agency_58,SKU_22,0
Agency_13,SKU_27,0
Agency_24,SKU_20,0
Agency_58,SKU_08,0
Agency_05,SKU_03,0
Agency_19,SKU_12,0
Agency_04,SKU_32,0
Agency_11,SKU_05,0
Agency_43,SKU_18,0
Agency_02,SKU_08,0
Agency_39,SKU_31,0
Agency_12,SKU_26,0
Agency_33,SKU_06,0
Agency_01,SKU_27,0
Agency_37,SKU_05,0
Agency_48,SKU_05,0
Agency_05,SKU_20,0
Agency_31,SKU_07,0
Agency_16,SKU_07,0
Agency_32,SKU_31,0
Agency_43,SKU_14,0
Agency_13,SKU_05,0
Agency_56,SKU_17,0
Agency_18,SKU_27,0
Agency_51,SKU_01,0
Agency_47,SKU_23,0
