citizen_id,party_voted_past,mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33
C100001,Ebony,0,3,2,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,8,0,0,0,4,18-24,1,1,Degree,6,ANQ,AER
C100002,Tokugawa,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,2,36-45,1,0,Masters,5,ACL,ANQ
C100003,Odyssey,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,3,18-24,1,0,Primary,5,ACD,ACD
C100004,Ebony,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,15,0,0,0,1,36-45,0,0,Diploma,8,AHD,AHD
C100005,Cosmos,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,1,46-55,0,0,Primary,7,AMS,AHO
C100006,Ebony,14,5,0,1,0,10,1,0,1,0,2,0,0,0,0,0,4,0,0,0,15,15,0,15,0,1,55+,1,0,Masters,3,AUD,AUD
C100007,Cosmos,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,3,18-24,0,0,Primary,5,AWX,AMS
C100008,Cosmos,3,0,0,0,13,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,15,0,0,0,13,4,25-35,1,0,Degree,9,ATI,ATI
C100009,Centaur,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,11,0,0,0,0,4,25-35,1,0,Masters,7,AYE,ANO
C100010,Centaur,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,36-45,0,0,Diploma,7,ARK,BBB
C100011,Cosmos,0,0,0,0,12,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,4,25-35,1,1,Degree,8,AHR,AHR
C100012,Ebony,0,10,0,3,0,0,9,0,2,0,0,0,0,0,0,0,1,0,1,0,0,15,0,15,0,3,25-35,0,0,Degree,7,AXO,AXO
C100013,Centaur,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,15,0,0,0,0,1,18-24,0,1,Masters,8,ACL,AHS
C100014,Cosmos,2,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15,0,0,15,15,4,18-24,1,1,Degree,9,AYE,ACL
C100015,Ebony,0,4,5,0,0,0,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,15,15,0,0,3,25-35,1,0,Diploma,4,ANQ,ANQ
C100016,Odyssey,0,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,3,46-55,1,1,Diploma,4,AWY,AVO
C100017,Odyssey,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,15,0,15,15,4,46-55,0,0,Primary,7,ACD,ACD
C100018,Cosmos,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,25-35,1,1,Primary,8,AWI,ACL
C100019,Centaur,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,0,3,55+,1,1,Primary,9,ATI,ATI
C100020,Odyssey,1,1,0,21,1,1,1,0,4,1,0,0,0,4,0,0,0,0,3,0,15,15,0,15,15,1,46-55,1,1,Diploma,8,AHR,AHR
C100021,Tokugawa,0,0,16,0,0,0,0,2,0,0,0,0,4,0,0,0,0,4,0,0,0,0,15,0,0,4,55+,0,1,Degree,7,APH,APH
