Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1722.187651
FDW14,OUT017,1390.550521
NCN55,OUT010,550.1443576
FDQ58,OUT017,2198.542484
FDH56,OUT046,1860.428041
FDL48,OUT018,692.655021
FDN33,OUT045,1398.430625
FDA36,OUT017,2607.307837
FDT44,OUT017,1555.687873
FDQ56,OUT045,1471.489255
FDU11,OUT049,2041.467725
DRL59,OUT013,710.997621
FDM24,OUT049,2724.849639
FDI57,OUT045,3299.888963
DRC12,OUT018,2947.3348
FDA46,OUT010,415.0503437
FDA31,OUT013,3127.474167
NCJ31,OUT035,3431.63993
FDG52,OUT046,752.8039052
FDS10,OUT035,3373.908553
FDX22,OUT010,535.2116235
NCF19,OUT035,722.2462923
NCE06,OUT046,2649.685243
DRC27,OUT046,3724.459409
FDE21,OUT035,2189.873157
FDX51,OUT018,2551.746735
NCR06,OUT018,706.8005904
FDU59,OUT017,2208.313337
FDD48,OUT010,226.5936148
NCF18,OUT017,2956.751999
NCD54,OUT018,1918.981703
FDY19,OUT010,234.8836802
NCY54,OUT017,2643.711258
NCL19,OUT018,1980.553964
FDP23,OUT010,499.0989032
FDC26,OUT013,2077.434595
FDR14,OUT010,166.2837899
NCS41,OUT035,2938.202381
FDF41,OUT035,3947.873588
FDU34,OUT046,1999.08063
DRH11,OUT046,933.1997713
FDM03,OUT013,1762.23108
FDS31,OUT017,3033.907927
FDJ20,OUT017,1807.124494
FDG02,OUT049,2525.072476
FDA09,OUT013,3670.930485
FDT04,OUT013,659.0195892
FDE52,OUT045,1399.142181
FDW12,OUT035,2619.53676
FDL51,OUT017,3400.323651
FDR07,OUT017,1599.15476
FDN40,OUT045,2252.61138
FDA22,OUT017,2530.023512
NCL06,OUT046,4028.046334
FDI35,OUT013,2873.869636
NCW42,OUT045,3730.784338
NCX06,OUT049,3300.788698
FDZ14,OUT018,1752.742671
DRG49,OUT049,4323.049713
NCG06,OUT045,3606.566021
DRC36,OUT045,2609.817497
FDB53,OUT046,2811.908216
FDA14,OUT013,2216.36846
DRC24,OUT035,2630.044248
FDW21,OUT018,1343.982998
NCH29,OUT046,1733.842696
FDU58,OUT013,2972.616291
FDY27,OUT017,2632.828126
FDV56,OUT035,1876.68431
FDT59,OUT046,3779.29922
FDB23,OUT046,3285.620098
FDR49,OUT045,799.324834
FDB03,OUT010,588.6093222
FDN39,OUT045,2761.591708
FDU35,OUT018,1493.732751
NCT29,OUT013,1612.421374
FDZ27,OUT046,761.0454414
FDN57,OUT017,2156.32245
FDA03,OUT018,2263.900979
FDZ36,OUT045,3140.545061
NCU05,OUT013,1236.647753
FDT39,OUT018,2242.431177
FDK60,OUT017,1589.392005
FDZ25,OUT017,3034.361461
FDG12,OUT046,2073.932482
FDM22,OUT049,838.0725643
FDU14,OUT018,3503.085712
FDB33,OUT010,407.8845595
FDP27,OUT046,3105.377446
FDO38,OUT010,189.989388
FDO27,OUT035,1541.418902
FDS28,OUT046,940.9604958
FDX24,OUT013,1161.293397
FDZ02,OUT035,1378.320067
FDL46,OUT045,1361.503326
NCO06,OUT017,706.9006993
FDO16,OUT035,1680.131305
FDC60,OUT049,1575.068292
FDA48,OUT018,3282.827954
FDK27,OUT045,1657.881015
FDW23,OUT018,697.5235992
FDM14,OUT018,1498.155291
FDM14,OUT013,1369.247498
FDW60,OUT018,2336.623238
FDE21,OUT013,1739.739951
NCM42,OUT035,1789.35807
FDY59,OUT010,194.3502807
DRI49,OUT049,1433.588357
FDQ22,OUT018,590.4297117
FDR60,OUT049,1299.827614
FDV24,OUT013,2646.245815
DRF48,OUT010,532.1076011
FDQ47,OUT046,858.1888471
DRN36,OUT049,1538.233745
NCY06,OUT035,2128.828362
FDE52,OUT035,1431.599997
NCB54,OUT045,1507.32504
NCF31,OUT035,2475.237183
NCC07,OUT017,1812.20564
FDL46,OUT049,1866.150655
FDM20,OUT045,3622.203495
NCI06,OUT010,420.5240618
DRM11,OUT035,4168.727368
NCH07,OUT018,2192.978199
FDS23,OUT013,2059.547131
FDO49,OUT018,672.025393
FDS35,OUT049,1111.459614
DRK39,OUT045,1256.24047
DRI39,OUT049,867.979175
FDV04,OUT017,2122.988356
NCN14,OUT035,2710.732332
FDH08,OUT013,3703.339677
FDS20,OUT046,2982.354639
FDV40,OUT049,1174.284422
FDZ48,OUT010,217.5220151
FDK44,OUT049,2604.842
FDS48,OUT045,2342.915485
FDK26,OUT010,416.2127813
FDD23,OUT045,2932.743768
NCH54,OUT017,2665.722293
NCP14,OUT010,280.4936173
FDM60,OUT010,122.8441473
FDV24,OUT017,2488.943108
FDH08,OUT018,3082.300843
FDC09,OUT035,1769.81907
FDF50,OUT018,2685.454192
FDG28,OUT035,3626.36939
NCE19,OUT017,821.8256165
NCM53,OUT010,263.4291092
NCN18,OUT049,1654.166662
FDF32,OUT035,3191.182993
FDF11,OUT013,3643.964902
DRI59,OUT049,3882.594721
NCG54,OUT035,2701.91913
FDM44,OUT046,1570.958794
FDT57,OUT018,2545.432799
FDV24,OUT046,2729.478957
FDS09,OUT035,850.1961872
FDC22,OUT017,2846.885176
FDZ56,OUT046,2563.940407
DRD24,OUT045,2141.66194
FDV45,OUT017,3155.721525
FDL26,OUT045,2720.708335
FDA56,OUT018,1427.103724
FDN27,OUT046,1690.844691
FDM20,OUT049,4469.029959
FDO16,OUT017,1709.494538
FDL03,OUT035,3134.415578
FDE58,OUT046,1952.743603
FDR03,OUT018,2717.784636
FDB14,OUT017,1655.724425
FDR45,OUT013,3644.103705
NCN07,OUT017,2093.696096
FDL26,OUT046,2406.981967
NCZ42,OUT046,3225.617442
FDW40,OUT013,2399.486786
FDN34,OUT046,3139.240855
FDS01,OUT035,3273.885563
NCG55,OUT045,1800.059266
FDC11,OUT035,1391.501899
FDX35,OUT018,3065.783861
NCB06,OUT046,2251.703794
FDC53,OUT017,1635.52543
FDY45,OUT013,3715.333321
FDA22,OUT010,404.1191038
FDE02,OUT035,1810.596285
FDW21,OUT045,1521.403884
FDV34,OUT046,1283.055293
FDS59,OUT049,1911.042537
NCW17,OUT017,2417.790214
NCK54,OUT046,2021.769373
FDG35,OUT017,3509.977189
FDD08,OUT010,130.6787716
NCO07,OUT017,3787.599178
FDJ10,OUT010,337.0233583
FDW36,OUT017,1574.117032
FDW21,OUT010,237.0813133
FDY19,OUT017,1849.757927
DRE03,OUT013,765.2899119
NCC55,OUT049,734.3475903
FDH52,OUT010,163.1725778
FDO09,OUT017,3650.404905
FDU43,OUT045,3938.078364
FDX09,OUT010,435.0146069
FDW58,OUT017,1909.769745
FDC47,OUT017,4259.709493
NCR41,OUT035,1630.183912
DRG49,OUT035,4524.304482
FDY13,OUT046,1263.665346
FDY35,OUT013,781.0688467
FDI35,OUT017,3580.945008
NCU18,OUT049,2720.312416
FDY33,OUT018,2328.937388
FDU01,OUT049,3004.314001
NCU42,OUT046,2839.077779
NCV29,OUT018,2437.032761
NCY30,OUT017,2995.533086
FDQ46,OUT049,1793.256836
FDK33,OUT017,4153.214784
NCD07,OUT045,1228.395896
NCT42,OUT013,2539.401255
DRN59,OUT035,708.4978986
FDI44,OUT035,1408.947639
FDA45,OUT049,2597.938706
FDP31,OUT045,1015.376581
FDY01,OUT046,1855.864227
FDT09,OUT018,2138.571938
FDA36,OUT018,2298.930852
NCF31,OUT017,2440.094638
FDG14,OUT049,2588.949473
FDU14,OUT049,3828.70945
FDI56,OUT049,1523.788786
DRD01,OUT013,926.5411435
FDM22,OUT046,1026.065739
FDH33,OUT013,826.1201593
DRZ24,OUT013,1955.438555
NCQ38,OUT046,1632.718374
NCB07,OUT013,2786.743144
FDU48,OUT045,1693.293818
NCM43,OUT045,2643.675578
FDR31,OUT010,286.3287541
DRK49,OUT018,540.2406725
NCI30,OUT010,690.9224496
DRD60,OUT017,2805.811943
NCG19,OUT046,3316.946093
FDH12,OUT035,1604.814352
FDM32,OUT035,1607.057693
FDM27,OUT035,2607.246161
NCQ18,OUT046,1738.459236
FDS10,OUT013,2704.265243
FDI12,OUT013,1492.883189
NCW42,OUT013,4110.310494
NCC06,OUT018,1752.541392
FDW02,OUT017,2050.302006
NCD43,OUT017,1743.804644
FDM57,OUT018,1223.89796
FDA58,OUT017,3601.460402
FDK56,OUT046,2941.623907
FDP52,OUT045,3565.29826
FDW20,OUT018,1647.476462
FDS52,OUT049,1545.698003
NCT29,OUT018,1692.066575
NCL54,OUT013,2798.360881
FDC05,OUT045,2694.423626
FDF34,OUT035,2876.628243
FDD32,OUT010,195.0148336
FDZ10,OUT045,1843.807372
FDZ40,OUT035,821.9961039
FDD51,OUT018,752.8504155
FDP58,OUT017,3434.857843
FDV49,OUT017,4091.514022
NCO55,OUT017,1543.923189
FDR13,OUT017,1921.562014
FDS51,OUT017,982.4822349
FDP26,OUT045,1370.978029
FDF32,OUT017,3177.86109
FDN31,OUT018,2512.99939
DRM48,OUT017,747.405325
FDN20,OUT049,2881.689906
DRL01,OUT046,2988.5666
FDV56,OUT049,1560.8824
FDA03,OUT017,2375.038371
FDX32,OUT046,2676.299408
FDX57,OUT049,1865.919005
NCA30,OUT045,2918.596834
FDO49,OUT013,669.1061961
DRM48,OUT035,758.4252265
FDR16,OUT013,3212.94846
NCC19,OUT018,2826.218772
NCE42,OUT045,2470.539223
FDY24,OUT017,985.9075666
FDH19,OUT049,2474.066795
FDJ46,OUT013,2389.028216
FDN45,OUT010,599.6737081
FDY08,OUT035,2177.011986
FDZ37,OUT035,1561.790184
NCT30,OUT045,832.3355355
DRY23,OUT018,618.8135346
NCZ30,OUT018,1804.455408
FDC44,OUT018,1642.959647
FDB45,OUT035,1838.348323
FDY04,OUT013,2492.286068
FDM27,OUT046,2256.427705
FDZ43,OUT017,4614.200884
FDL57,OUT017,5031.393545
FDU08,OUT046,1521.093517
FDK40,OUT017,3651.343386
FDQ12,OUT010,440.046373
FDS48,OUT017,2622.937556
FDP09,OUT045,3630.730134
FDW21,OUT049,1570.796815
FDY25,OUT035,3612.146011
DRE13,OUT017,1410.356977
FDD22,OUT045,1714.375366
NCO30,OUT010,419.2057991
FDM25,OUT046,2638.394881
NCN41,OUT049,2054.570763
FDU24,OUT045,1601.492258
FDZ50,OUT046,3139.066863
FDP45,OUT013,3602.437929
NCM54,OUT045,1582.447494
FDP20,OUT017,1894.200877
FDK32,OUT046,2377.815042
FDN52,OUT049,1344.899324
FDM58,OUT045,1926.037142
NCA18,OUT018,1556.610321
FDD35,OUT046,1977.632805
NCK31,OUT035,785.8555918
NCT06,OUT046,2441.534029
FDT31,OUT035,2927.359604
FDT45,OUT049,827.6279965
FDT13,OUT045,2807.64051
FDO50,OUT045,1462.416813
NCU18,OUT010,329.4137206
NCR54,OUT049,3315.760945
NCO18,OUT018,2545.117898
FDU09,OUT045,838.1382344
FDT13,OUT018,2376.347159
FDE09,OUT046,1887.624417
FDG45,OUT049,3486.368066
DRH15,OUT035,896.2173765
FDC09,OUT046,1686.502443
FDV32,OUT046,1141.003723
FDG12,OUT035,2095.732325
FDS32,OUT013,2270.107544
NCL55,OUT018,3267.275736
DRE01,OUT035,4558.678572
DRE15,OUT049,1311.57967
NCL42,OUT045,4028.348812
FDP31,OUT013,962.0626168
FDN33,OUT018,1429.679995
FDZ59,OUT046,3052.229947
FDE45,OUT010,366.4802636
FDJ07,OUT013,1459.939931
FDQ45,OUT018,2478.138721
FDO15,OUT010,185.4575919
FDM46,OUT013,1860.049452
FDR03,OUT045,3234.094614
FDY49,OUT018,2148.731137
FDQ60,OUT045,1737.584159
FDW10,OUT049,2623.273393
FDO51,OUT049,750.1671762
FDJ40,OUT018,1398.096143
FDS20,OUT018,2363.359784
FDU45,OUT013,2052.759946
FDV02,OUT035,2792.042782
FDN09,OUT046,3154.063496
FDN23,OUT018,2060.204863
FDY31,OUT010,317.9578839
FDW03,OUT010,255.1660983
FDD14,OUT046,2793.969811
FDV23,OUT017,1605.200118
DRI03,OUT045,2754.924385
FDN13,OUT035,1426.241577
FDU46,OUT035,1580.455762
FDB57,OUT049,3367.699107
FDV12,OUT049,1803.23296
FDQ58,OUT013,2574.020355
NCA18,OUT017,1642.725538
FDH52,OUT049,900.9297241
FDM24,OUT018,2143.401862
FDM32,OUT017,1587.787327
NCL07,OUT017,610.6932388
FDK03,OUT013,4317.219547
FDP59,OUT017,1536.106473
FDQ24,OUT049,3343.448031
FDQ16,OUT018,1448.779944
FDU44,OUT013,2147.330139
FDH28,OUT010,154.5785971
FDM22,OUT045,878.4941863
FDR56,OUT046,2667.398552
FDV39,OUT049,2618.236261
FDQ11,OUT010,683.5009337
FDX02,OUT045,3809.017746
NCS42,OUT018,1483.43164
FDB21,OUT049,4088.243841
FDE28,OUT017,3377.498459
FDQ55,OUT017,2148.525344
FDA48,OUT049,3531.750062
FDZ19,OUT045,2553.673277
NCC43,OUT045,3184.158763
NCV18,OUT046,1574.864286
NCA42,OUT018,2762.311957
FDY45,OUT046,3333.117494
NCC30,OUT045,2770.274547
FDM57,OUT013,1421.91908
FDL09,OUT010,407.6008667
FDT44,OUT035,1716.665219
FDX26,OUT049,3332.652765
FDK32,OUT013,2469.210044
DRA12,OUT046,2099.710915
FDO46,OUT010,511.6962249
FDE52,OUT013,1418.82264
NCH42,OUT045,3574.558695
FDV08,OUT035,768.0627338
FDB47,OUT018,2574.670048
FDC28,OUT010,238.9346801
FDD22,OUT046,1694.640279
DRI13,OUT045,3556.971647
FDG32,OUT018,3586.063697
FDU14,OUT017,3518.985555
NCP41,OUT017,1695.855383
FDS08,OUT049,2901.323645
FDX47,OUT045,2160.418453
FDQ19,OUT035,3651.856919
FDL14,OUT045,2395.603366
FDA51,OUT045,1791.830441
FDZ27,OUT018,712.2327775
FDT04,OUT046,695.6815085
DRC13,OUT049,1937.307115
