Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1758.344348
FDW14,OUT017,1451.393815
NCN55,OUT010,502.699081
FDQ58,OUT017,1876.105715
FDH56,OUT046,1978.113676
FDL48,OUT018,624.3970632
FDN33,OUT045,1271.819715
FDA36,OUT017,2600.309587
FDT44,OUT017,1602.82095
FDQ56,OUT045,1572.614011
FDU11,OUT049,1906.465778
DRL59,OUT013,626.438987
FDM24,OUT049,2581.123329
FDI57,OUT045,4214.720571
DRC12,OUT018,3307.202959
FDA46,OUT010,405.0685606
FDA31,OUT013,3279.784903
NCJ31,OUT035,3287.204576
FDG52,OUT046,696.4200397
FDS10,OUT035,3138.239946
FDX22,OUT010,463.2132333
NCF19,OUT035,652.7687032
NCE06,OUT046,2532.698435
DRC27,OUT046,3822.13483
FDE21,OUT035,2190.063834
FDX51,OUT018,2527.000405
NCR06,OUT018,443.7372826
FDU59,OUT017,2057.97821
FDD48,OUT010,193.980832
NCF18,OUT017,3005.407678
NCD54,OUT018,1952.821758
FDY19,OUT010,243.6370204
NCY54,OUT017,2481.541778
NCL19,OUT018,1843.617093
FDP23,OUT010,502.3694704
FDC26,OUT013,2102.529493
FDR14,OUT010,125.5836355
NCS41,OUT035,2929.16331
FDF41,OUT035,4041.133888
FDU34,OUT046,1953.752721
DRH11,OUT046,840.3606995
FDM03,OUT013,2038.326533
FDS31,OUT017,3010.839034
FDJ20,OUT017,1840.49706
FDG02,OUT049,2700.782917
FDA09,OUT013,3721.270013
FDT04,OUT013,474.1201596
FDE52,OUT045,1276.858305
FDW12,OUT035,2772.574363
FDL51,OUT017,3674.282254
FDR07,OUT017,1600.773482
FDN40,OUT045,2353.383026
FDA22,OUT017,2763.94572
NCL06,OUT046,4031.999872
FDI35,OUT013,3239.170081
NCW42,OUT045,3842.973487
NCX06,OUT049,3263.102709
FDZ14,OUT018,1764.629799
DRG49,OUT049,4794.309031
NCG06,OUT045,3237.936651
DRC36,OUT045,2672.001375
FDB53,OUT046,3082.379351
FDA14,OUT013,2112.776378
DRC24,OUT035,2684.994673
FDW21,OUT018,1397.960311
NCH29,OUT046,1756.436766
FDU58,OUT013,3504.886637
FDY27,OUT017,2462.729801
FDV56,OUT035,1612.043616
FDT59,OUT046,4063.742595
FDB23,OUT046,3576.352815
FDR49,OUT045,765.267571
FDB03,OUT010,659.999359
FDN39,OUT045,2683.512603
FDU35,OUT018,1489.643745
NCT29,OUT013,1404.420053
FDZ27,OUT046,727.622102
FDN57,OUT017,2176.535947
FDA03,OUT018,2029.089476
FDZ36,OUT045,3406.42455
NCU05,OUT013,1176.017715
FDT39,OUT018,2035.385048
FDK60,OUT017,1655.543988
FDZ25,OUT017,2989.308596
FDG12,OUT046,2531.849016
FDM22,OUT049,856.4292502
FDU14,OUT018,4496.282878
FDB33,OUT010,379.8659856
FDP27,OUT046,3446.819027
FDO38,OUT010,161.3731544
FDO27,OUT035,1454.575953
FDS28,OUT046,864.1227747
FDX24,OUT013,1233.947109
FDZ02,OUT035,1096.831354
FDL46,OUT045,1468.599327
NCO06,OUT017,602.1427371
FDO16,OUT035,1861.05256
FDC60,OUT049,1577.692378
FDA48,OUT018,3535.660846
FDK27,OUT045,1806.080525
FDW23,OUT018,558.1493642
FDM14,OUT018,1401.647395
FDM14,OUT013,1473.442021
FDW60,OUT018,2565.026744
FDE21,OUT013,1805.910813
NCM42,OUT035,1656.293038
FDY59,OUT010,172.1293234
DRI49,OUT049,1343.177302
FDQ22,OUT018,470.2484992
FDR60,OUT049,1152.86272
FDV24,OUT013,2512.829741
DRF48,OUT010,557.170662
FDQ47,OUT046,708.7707938
DRN36,OUT049,1563.654264
NCY06,OUT035,2053.226871
FDE52,OUT035,1360.885298
NCB54,OUT045,1535.665728
NCF31,OUT035,2312.398159
NCC07,OUT017,1692.891967
FDL46,OUT049,1822.992274
FDM20,OUT045,4150.23502
NCI06,OUT010,415.3601056
DRM11,OUT035,4394.563477
NCH07,OUT018,2226.861241
FDS23,OUT013,2155.578989
FDO49,OUT018,616.2756131
FDS35,OUT049,1036.246215
DRK39,OUT045,1249.329693
DRI39,OUT049,821.9772773
FDV04,OUT017,1730.07313
NCN14,OUT035,2649.08019
FDH08,OUT013,3754.676848
FDS20,OUT046,3089.140081
FDV40,OUT049,1040.449953
FDZ48,OUT010,190.3676173
FDK44,OUT049,2362.497507
FDS48,OUT045,2081.828013
FDK26,OUT010,508.140358
FDD23,OUT045,3336.360814
NCH54,OUT017,2771.382931
NCP14,OUT010,235.893933
FDM60,OUT010,89.23290375
FDV24,OUT017,2460.286837
FDH08,OUT018,3355.337786
FDC09,OUT035,1605.803963
FDF50,OUT018,2887.667401
FDG28,OUT035,3647.842242
NCE19,OUT017,799.1972811
NCM53,OUT010,269.6821416
NCN18,OUT049,1562.141917
FDF32,OUT035,3076.598621
FDF11,OUT013,3314.246364
DRI59,OUT049,3980.268022
NCG54,OUT035,2853.640801
FDM44,OUT046,1463.799622
FDT57,OUT018,2096.482736
FDV24,OUT046,2627.09701
FDS09,OUT035,838.5835726
FDC22,OUT017,2995.293455
FDZ56,OUT046,2640.782126
DRD24,OUT045,1879.9278
FDV45,OUT017,3145.952961
FDL26,OUT045,3101.476315
FDA56,OUT018,1502.147923
FDN27,OUT046,1655.931874
FDM20,OUT049,4837.452217
FDO16,OUT017,1853.656482
FDL03,OUT035,2872.532066
FDE58,OUT046,2027.037667
FDR03,OUT018,3081.154935
FDB14,OUT017,1631.101685
FDR45,OUT013,3765.712158
NCN07,OUT017,2086.593535
FDL26,OUT046,2705.932539
NCZ42,OUT046,3116.993731
FDW40,OUT013,2271.656757
FDN34,OUT046,3679.467569
FDS01,OUT035,3275.012665
NCG55,OUT045,1849.049478
FDC11,OUT035,1272.329678
FDX35,OUT018,3047.453901
NCB06,OUT046,2132.629799
FDC53,OUT017,1560.389905
FDY45,OUT013,3819.897693
FDA22,OUT010,377.7332522
FDE02,OUT035,1837.291652
FDW21,OUT045,1610.130954
FDV34,OUT046,1226.952471
FDS59,OUT049,2098.367023
NCW17,OUT017,2688.96198
NCK54,OUT046,2150.102461
FDG35,OUT017,3916.91079
FDD08,OUT010,101.6219558
NCO07,OUT017,4013.608835
FDJ10,OUT010,329.4481368
FDW36,OUT017,1676.722858
FDW21,OUT010,218.5455673
FDY19,OUT017,1909.043364
DRE03,OUT013,652.6069092
NCC55,OUT049,682.8161012
FDH52,OUT010,144.2992577
FDO09,OUT017,3759.219447
FDU43,OUT045,4159.318081
FDX09,OUT010,432.4644442
FDW58,OUT017,1920.376204
FDC47,OUT017,4686.820586
NCR41,OUT035,1455.514318
DRG49,OUT035,5192.820439
FDY13,OUT046,1248.599387
FDY35,OUT013,760.6664946
FDI35,OUT017,4293.643716
NCU18,OUT049,2614.708685
FDY33,OUT018,2531.835068
FDU01,OUT049,3197.642825
NCU42,OUT046,3167.28397
NCV29,OUT018,2162.546929
NCY30,OUT017,2947.174399
FDQ46,OUT049,1898.263616
FDK33,OUT017,4600.281645
NCD07,OUT045,1175.516956
NCT42,OUT013,2250.853017
DRN59,OUT035,628.7673032
FDI44,OUT035,1349.620944
FDA45,OUT049,2532.500935
FDP31,OUT045,931.9355711
FDY01,OUT046,1814.971046
FDT09,OUT018,2156.852415
FDA36,OUT018,2614.597899
NCF31,OUT017,2264.52194
FDG14,OUT049,2513.053508
FDU14,OUT049,3825.201233
FDI56,OUT049,1433.881235
DRD01,OUT013,775.3026295
FDM22,OUT046,1132.13029
FDH33,OUT013,567.5479297
DRZ24,OUT013,2071.795672
NCQ38,OUT046,1507.540541
NCB07,OUT013,2586.599648
FDU48,OUT045,1531.708215
NCM43,OUT045,2441.215943
FDR31,OUT010,258.401082
DRK49,OUT018,317.9926367
NCI30,OUT010,798.411914
DRD60,OUT017,2947.514311
NCG19,OUT046,3016.028678
FDH12,OUT035,1729.410642
FDM32,OUT035,1398.6921
FDM27,OUT035,2603.982541
NCQ18,OUT046,1803.615649
FDS10,OUT013,2976.060437
FDI12,OUT013,1278.391864
NCW42,OUT013,4097.709457
NCC06,OUT018,1961.421331
FDW02,OUT017,2551.220824
NCD43,OUT017,1757.805176
FDM57,OUT018,1077.827597
FDA58,OUT017,3541.689466
FDK56,OUT046,3198.402748
FDP52,OUT045,3886.826719
FDW20,OUT018,1756.832052
FDS52,OUT049,1444.171898
NCT29,OUT018,1657.213725
NCL54,OUT013,3016.709248
FDC05,OUT045,2640.864198
FDF34,OUT035,3006.378391
FDD32,OUT010,172.2142708
FDZ10,OUT045,2121.20237
FDZ40,OUT035,850.613609
FDD51,OUT018,578.438565
FDP58,OUT017,3545.434764
FDV49,OUT017,4188.418081
NCO55,OUT017,1534.002852
FDR13,OUT017,1897.785221
FDS51,OUT017,1009.662569
FDP26,OUT045,1089.83452
FDF32,OUT017,3096.821629
FDN31,OUT018,2351.723505
DRM48,OUT017,753.5430137
FDN20,OUT049,2755.480476
DRL01,OUT046,3326.801838
FDV56,OUT049,1319.822514
FDA03,OUT017,2193.558342
FDX32,OUT046,2622.805439
FDX57,OUT049,1832.267375
NCA30,OUT045,3093.608391
FDO49,OUT013,615.3030382
DRM48,OUT035,781.8511383
FDR16,OUT013,3479.80392
NCC19,OUT018,2944.888388
NCE42,OUT045,2615.109368
FDY24,OUT017,1055.605921
FDH19,OUT049,2221.750562
FDJ46,OUT013,2514.850461
FDN45,OUT010,691.5224146
FDY08,OUT035,2028.998319
FDZ37,OUT035,1476.716637
NCT30,OUT045,745.848896
DRY23,OUT018,370.6289022
NCZ30,OUT018,1740.177646
FDC44,OUT018,1632.865714
FDB45,OUT035,1504.868284
FDY04,OUT013,2343.794418
FDM27,OUT046,2155.90799
FDZ43,OUT017,4841.307554
FDL57,OUT017,5251.098219
FDU08,OUT046,1311.092541
FDK40,OUT017,3649.980762
FDQ12,OUT010,467.6074584
FDS48,OUT017,2697.980682
FDP09,OUT045,4145.727101
FDW21,OUT049,1546.190674
FDY25,OUT035,3854.59866
DRE13,OUT017,1343.686572
FDD22,OUT045,1848.960797
NCO30,OUT010,438.0135658
FDM25,OUT046,2685.341294
NCN41,OUT049,1999.530288
FDU24,OUT045,1723.521733
FDZ50,OUT046,3102.711706
FDP45,OUT013,3709.212571
NCM54,OUT045,1658.818613
FDP20,OUT017,1877.933421
FDK32,OUT046,2607.717548
FDN52,OUT049,1171.584489
FDM58,OUT045,2286.253506
NCA18,OUT018,1614.057293
FDD35,OUT046,2096.989768
NCK31,OUT035,650.61734
NCT06,OUT046,2497.330702
FDT31,OUT035,2910.866211
FDT45,OUT049,845.4360839
FDT13,OUT045,3255.973307
FDO50,OUT045,1435.740835
NCU18,OUT010,297.8510716
NCR54,OUT049,3203.242788
NCO18,OUT018,2496.998114
FDU09,OUT045,767.6069793
FDT13,OUT018,2455.987043
FDE09,OUT046,1876.834276
FDG45,OUT049,3597.807488
DRH15,OUT035,707.8502379
FDC09,OUT046,1471.138376
FDV32,OUT046,1177.068653
FDG12,OUT035,2281.024749
FDS32,OUT013,2242.563836
NCL55,OUT018,3650.164716
DRE01,OUT035,4712.995359
DRE15,OUT049,1193.018546
NCL42,OUT045,4029.272286
FDP31,OUT013,864.5780272
FDN33,OUT018,1313.098811
FDZ59,OUT046,2978.153923
FDE45,OUT010,384.4967193
FDJ07,OUT013,1713.421045
FDQ45,OUT018,2682.020171
FDO15,OUT010,177.2672823
FDM46,OUT013,1677.482454
FDR03,OUT045,3456.667894
FDY49,OUT018,1865.040613
FDQ60,OUT045,1864.896485
FDW10,OUT049,2644.206363
FDO51,OUT049,703.8393429
FDJ40,OUT018,1374.310706
FDS20,OUT018,2282.96037
FDU45,OUT013,2302.358048
FDV02,OUT035,2700.69236
FDN09,OUT046,3207.854181
FDN23,OUT018,2173.624435
FDY31,OUT010,297.4355217
FDW03,OUT010,264.4972139
FDD14,OUT046,2820.953448
FDV23,OUT017,1503.549731
DRI03,OUT045,3050.245916
FDN13,OUT035,1375.699059
FDU46,OUT035,1572.93376
FDB57,OUT049,3251.673878
FDV12,OUT049,1969.830291
FDQ58,OUT013,2234.379412
NCA18,OUT017,1580.794824
FDH52,OUT049,755.6184431
FDM24,OUT018,2216.329849
FDM32,OUT017,1358.454563
NCL07,OUT017,508.0841714
FDK03,OUT013,4804.947042
FDP59,OUT017,1645.035843
FDQ24,OUT049,3893.86513
FDQ16,OUT018,1401.325975
FDU44,OUT013,2234.935235
FDH28,OUT010,115.4492663
FDM22,OUT045,963.5547979
FDR56,OUT046,2579.104862
FDV39,OUT049,2891.848238
FDQ11,OUT010,700.4988655
FDX02,OUT045,3846.78244
NCS42,OUT018,1396.523604
FDB21,OUT049,3963.880636
FDE28,OUT017,3544.527207
FDQ55,OUT017,2573.508053
FDA48,OUT049,3817.379585
FDZ19,OUT045,2363.81805
NCC43,OUT045,2873.774521
NCV18,OUT046,1747.794894
NCA42,OUT018,2970.237549
FDY45,OUT046,3358.061362
NCC30,OUT045,2719.562608
FDM57,OUT013,1345.98019
FDL09,OUT010,396.6758373
FDT44,OUT035,1632.278395
FDX26,OUT049,3482.872493
