"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","year","price","pp"
"1","FDA15",9.3,"Low Fat",0.016047301,"Dairy",249.8092,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3735.138,17,4.0087634249692,68.1489782244764
"2","DRC01",5.92,"Regular",0.019278216,"Soft Drinks",48.2692,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",443.4228,7,0.9305440637472,6.5138084462304
"3","FDN15",17.5,"Low Fat",0.016760075,"Meat",141.618,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2097.27,17,2.37352830135,40.34998112295
"4","FDX07",19.2,"Regular",0,"Fruits and Vegetables",182.095,"OUT010",1998,"Small","Tier 3","Grocery Store",732.38,18,0,0
"5","NCD19",8.93,"Low Fat",0,"Household",53.8614,"OUT013",1987,"High","Tier 3","Supermarket Type1",994.7052,29,0,0
"6","FDP36",10.395,"Regular",0,"Baking Goods",51.4008,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",556.6088,7,0,0
"7","FDO10",13.65,"Regular",0.012741089,"Snack Foods",57.6588,"OUT013",1987,"High","Tier 3","Supermarket Type1",343.5528,29,0.7346359024332,21.3044411705628
"9","FDH17",16.2,"Regular",0.016687114,"Frozen Foods",96.9726,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1076.5986,14,1.6181928310764,22.6546996350696
"10","FDU28",19.2,"Regular",0.09444959,"Frozen Foods",187.8214,"OUT017",2007,"Small","Tier 2","Supermarket Type1",4710.535,9,17.739654223226,159.656888009034
"11","FDY07",11.8,"Low Fat",0,"Fruits and Vegetables",45.5402,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1516.0266,17,0,0
"12","FDA03",18.5,"Regular",0.045463773,"Dairy",144.1102,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2187.153,19,6.5517934197846,124.484074975907
"13","FDX32",15.1,"Regular",0.1000135,"Fruits and Vegetables",145.4786,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1589.2646,17,14.5498239611,247.3470073387
"14","FDS46",17.6,"Regular",0.047257328,"Snack Foods",119.6782,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2145.2076,19,5.6556719518496,107.457767085142
"15","FDF32",16.35,"Low Fat",0.0680243,"Fruits and Vegetables",196.4426,"OUT013",1987,"High","Tier 3","Supermarket Type1",1977.426,29,13.36287035518,387.52324030022
"16","FDP49",9,"Regular",0.069088961,"Breakfast",56.3614,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1547.3192,19,3.8939505665054,73.9850607636026
"17","NCB42",11.8,"Low Fat",0.008596051,"Health and Hygiene",115.3492,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1621.8888,7,0.9915476060092,6.9408332420644
"18","FDP49",9,"Regular",0.069196376,"Breakfast",54.3614,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",718.3982,17,3.7616118742864,63.9474018628688
"20","FDU02",13.35,"Low Fat",0.10249212,"Dairy",230.5352,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2748.4224,12,23.628041382624,283.536496591488
"21","FDN22",18.85,"Regular",0.138190277,"Snack Foods",250.8724,"OUT013",1987,"High","Tier 3","Supermarket Type1",3775.086,29,34.6681264476548,1005.37566698199
"23","NCB30",14.6,"Low Fat",0.025698134,"Household",196.5084,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1587.2672,12,5.0498991953256,60.5987903439072
"25","FDR28",13.85,"Regular",0.025896485,"Frozen Foods",165.021,"OUT046",1997,"Small","Tier 1","Supermarket Type1",4078.025,19,4.273463851185,81.195813172515
"26","NCD06",13,"Low Fat",0.099887103,"Household",45.906,"OUT017",2007,"Small","Tier 2","Supermarket Type1",838.908,9,4.585417350318,41.268756152862
"27","FDV10",7.645,"Regular",0.066693437,"Snack Foods",42.3112,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1065.28,12,2.8218793515944,33.8625522191328
"28","DRJ59",11.65,"low fat",0.019356132,"Hard Drinks",39.1164,"OUT013",1987,"High","Tier 3","Supermarket Type1",308.9312,29,0.7571422017648,21.9571238511792
"29","FDE51",5.925,"Regular",0.161466534,"Dairy",45.5086,"OUT010",1998,"Small","Tier 3","Grocery Store",178.4344,18,7.3481159091924,132.266086365463
"31","FDV38",19.25,"Low Fat",0.170348551,"Dairy",55.7956,"OUT010",1998,"Small","Tier 3","Grocery Store",163.7868,18,9.5046996121756,171.084593019161
"32","NCS17",18.6,"Low Fat",0.080829372,"Health and Hygiene",96.4436,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2741.7644,7,7.7954756214192,54.5683293499344
"33","FDP33",18.7,"Low Fat",0,"Snack Foods",256.6672,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3068.0064,7,0,0
"34","FDO23",17.85,"Low Fat",0,"Breads",93.1436,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2174.5028,14,0,0
"35","DRH01",17.5,"Low Fat",0.097904029,"Soft Drinks",174.8738,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2085.2856,19,17.1208495865402,325.296142144264
"36","NCX29",10,"Low Fat",0.089291137,"Health and Hygiene",146.7102,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3791.0652,17,13.0999205674974,222.698649647456
