,Unnamed: 0,Address,Scheme,Staus,Gender,Region,Sale.of.Equipment.Status,Age,Equipment.Warranty,Salary.Slab,Professional.Info,Age.of.Home,Query_freq,Realization_monnos,Default_number,Commence_year,Commence_month,Commence_day,Warrenty_year,Warrenty_month,Warrenty_day,Cardtype,schemecost,defaultsum,Hours,Posthours,daraGB,Default,query_days,usage_number,LevelPaymentSettlement,LevelTech,Account,PaymentSettlement,Browsing,OperationalCapabilities,GeneralInformation,NoBrowse,Payment,FullPayment,Redirected,Nosupport.ThirdParty,SlowBrowse,Utilities,ExplanationofCharges,Change,MultipleItems.EntireBill,UpdatePaymentInformation,GeneralInquiry,Retention,CommenceDays,Warrentydays
0,1,VALID,PWR,Open,Male,Southern,RENTED,55.7000870098,Three Full Years,5,0,22,3,3,0,2012,9,27,2015,8,3, Card II TYPE,1395,457,497,1,1522,0,-50,3,1,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,918,-123
1,2,VALID,PRS,Open,Female,Western,RENTED,71.0,Three Full Years,12,18,22,0,3,0,2012,1,26,2016,8,3, Card II TYPE,1638,457,2199,340,2944,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,-488
2,3,VALID,MXX,Open,Male,Eastern,BOUGHT,69.0,Three Full Years,9,8,22,0,3,0,2013,5,14,2015,8,3, Card II TYPE,1696,457,3073,648,3401,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,-123
3,4,VALID,PWM,Open,Male,Eastern,RENTED,71.0,Three Full Years,5,19,22,0,3,0,2011,10,12,2015,7,30, Card II TYPE,375,457,2315,1,1289,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,-120
4,5,VALID,KLA,Open,Male,Northern,RENTED,61.0,Three Full Years,6,13,22,1,3,1,2014,7,31,2016,7,15, Card II TYPE,1736,316,3875,269,3727,0,-103,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,244,-470
5,6,VALID,PMM,Open,Male,Northern,RENTED,67.0,Three Full Years,5,0,21,1,3,0,2011,10,5,2015,7,20, Card II TYPE,1498,457,1445,804,1056,0,-41,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1275,-110
6,7,VALID,PRR,Open,Female,Northern,RENTED,59.0,Three Full Years,6,5,17,2,3,0,2011,10,28,2015,7,9, Card I TYPE,675,457,4157,756,3508,0,-43,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1252,-99
7,8,VALID,PRR,Open,Female,Eastern,Second Hand,62.0,Three Full Years,5,0,22,0,3,0,2013,7,25,2015,7,10, Card II TYPE,1696,457,2264,319,2288,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,-100
8,9,VALID,KLA,Open,Female,Northern,BOUGHT,43.0,Three Full Years,9,6,22,0,3,0,2012,1,20,2015,7,28, Card II TYPE,1928,457,3636,1,888,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,-118
9,10,VALID,PWM,Open,Male,Northern,BOUGHT,64.0,Three Full Years,5,6,22,1,3,0,2012,7,5,2015,7,6, Card II TYPE,243,457,1884,1,2276,0,-32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1000,-96
10,11,VALID,PWR,Open,Female,Northern,BOUGHT,51.0,Three Full Years,11,0,22,0,3,0,2013,1,19,2015,7,17, Card II TYPE,1175,457,3765,1,118,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,-107
11,12,VALID,CHC,Open,Female,Western,Unknown,54.3991568627,Three Full Years,6,0,22,0,None,0,2014,8,28,2016,7,28,None,2035,457,3481,1,2135,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,-483
12,13,VALID,CHC,Open,Female,Eastern,Unknown,46.3666904762,Three Full Years,3,0,12,0,None,0,2014,8,27,2016,7,27,None,2035,457,4617,933,4333,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,-482
13,14,VALID,CHC,Open,Male,Western,Second Hand,55.1170943627,Three Full Years,6,0,22,0,None,0,2014,8,26,2016,7,23,None,2035,457,2183,1,1084,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,-478
14,15,VALID,CHC,Open,Male,Northern,Second Hand,56.0,Three Full Years,2,0,12,0,None,0,2014,8,28,2016,8,3,None,2035,457,305,369,982,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,-488
15,16,VALID,CHC,Open,Male,Western,Second Hand,54.0,Three Full Years,3,0,7,0,None,0,2014,8,27,2016,7,27,None,2035,457,4225,378,4295,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,-482
16,17,VALID,CHC,Open,Female,Northern,Second Hand,38.0,Three Full Years,2,0,21,0,None,0,2014,8,28,2016,7,28,None,2035,457,333,1,299,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,-483
17,18,VALID,CHC,Open,Male,Northern,Second Hand,45.0,Three Full Years,4,10,2,0,None,0,2014,8,27,2016,7,27,None,2035,457,3566,259,94,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,-482
18,19,VALID,CHC,Open,Male,Northern,Second Hand,51.1908571429,Three Full Years,2,0,12,0,None,0,2014,8,28,2016,8,3,None,2035,457,1757,1,1270,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,-488
19,20,VALID,CHC,Open,Female,Eastern,Second Hand,36.0,Three Full Years,10,0,17,0,None,0,2014,9,21,2016,7,21,None,2035,457,1441,208,3882,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,-476
20,21,VALID,CHC,Open,Female,Eastern,Second Hand,48.0,Three Full Years,6,0,17,0,None,0,2014,9,21,2016,9,21,None,2035,457,3668,1,2182,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,-536
21,22,VALID,POP,Open,Male,Eastern,RENTED,47.0,Three Full Years,7,10,21,0,3,0,2012,6,10,2015,7,22, Card II TYPE,1965,457,3567,1,1003,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,-112
22,23,VALID,PWR,Open,Male,Northern,BOUGHT,48.0,Three Full Years,3,0,22,0,3,0,2013,2,24,2015,7,5, Card II TYPE,1176,457,1666,881,2055,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,-95
23,24,VALID,CHC,Open,Female,Eastern,RENTED,67.0,Three Full Years,9,5,22,0,3,0,2014,5,20,2016,7,15, Card II TYPE,1115,457,2723,697,284,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,-470
24,25,VALID,PWR,Open,Male,Western,RENTED,55.0,Three Full Years,3,0,17,0,3,0,2011,11,5,2015,7,28, Card I TYPE,1132,457,2399,1,1376,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,-118
25,26,VALID,PWM,Open,Female,Northern,RENTED,47.0,Three Full Years,5,0,22,1,3,0,2012,2,13,2015,7,19, Card II TYPE,389,457,2080,1,2539,0,-67,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,-109
26,27,VALID,MXX,Open,Male,Eastern,RENTED,60.0,Three Full Years,7,0,17,1,3,0,2012,1,11,2015,7,8, Card II TYPE,550,457,4617,933,4333,0,-70,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1174,-98
27,28,VALID,PWM,Open,Male,Eastern,BOUGHT,51.0,Three Full Years,6,0,21,0,2,0,2012,8,28,2015,7,14,Paper based/Post,205,457,4181,1,3671,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,-104
28,29,VALID,PWM,Open,Male,Western,BOUGHT,54.0,Three Full Years,4,13,12,0,3,0,2012,9,5,2015,7,20, Card II TYPE,241,457,3963,1,3745,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,-110
29,30,VALID,KLA,Open,Female,Northern,RENTED,68.0,Three Full Years,6,14,17,0,2,0,2011,12,30,2015,8,2, Card II TYPE,126,457,4071,1,3383,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,-122
30,31,VALID,POP,Open,Male,Eastern,RENTED,58.0,Three Full Years,8,5,22,0,3,0,2011,11,21,2015,7,29,Paper based/Post,162,457,4040,1,1397,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,-119
31,32,VALID,PWM,Open,Male,Eastern,RENTED,53.0,Three Full Years,7,0,21,0,3,0,2011,10,14,2015,7,25, Card II TYPE,327,457,2361,1,2937,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266,-115
32,33,VALID,PWR,Open,Male,Northern,RENTED,57.0,Three Full Years,3,0,17,2,3,0,2012,7,1,2015,7,12, Card II TYPE,1521,457,2740,1,1050,0,-82,3,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1004,-102
33,34,VALID,PMM,Open,Male,Northern,RENTED,47.0,Three Full Years,6,0,12,1,3,0,2014,4,10,2016,7,26, Card II TYPE,1521,457,450,1,1000,0,-52,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,355,-481
34,35,VALID,POP,Open,Male,Northern,BOUGHT,43.0,Three Full Years,6,0,21,0,3,0,2012,1,18,2015,7,26, Card II TYPE,1848,457,3592,1,840,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,-116
35,36,VALID,PWR,Open,Female,Eastern,RENTED,47.0,Three Full Years,3,0,12,0,3,0,2011,12,17,2015,7,26, Card II TYPE,1147,457,839,1,1220,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,-116
36,37,VALID,KLA,Open,Male,Northern,RENTED,48.3093396283,Three Full Years,3,0,12,0,None,0,2011,10,7,2015,8,3,None,2035,457,3487,1,2751,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,-123
37,38,VALID,POP,Open,Male,Northern,RENTED,74.0,Three Full Years,5,0,22,3,None,0,2012,2,17,2015,8,3,None,2035,457,4428,1,419,1,-62,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1138,-123
38,39,VALID,PWR,Open,Female,Northern,BOUGHT,70.0,Three Full Years,3,14,22,0,None,0,2012,2,24,2015,7,29,None,2035,457,959,1,3317,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,-119
39,40,VALID,PWR,Open,Female,Eastern,RENTED,61.0,Full Year,6,20,22,0,None,0,2012,7,29,2015,7,13,None,2035,457,3433,1,2637,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,-103
40,41,VALID,PWR,Open,Male,Eastern,BOUGHT,52.5252401961,Three Full Years,6,0,22,0,None,0,2012,3,31,2015,7,29,None,2035,457,3999,1,1966,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,-119
41,42,VALID,POP,Open,Female,Northern,BOUGHT,57.0,Three Full Years,4,18,17,3,None,0,2013,11,10,2016,7,19,None,2035,457,1546,1,2309,1,-54,3,3,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,510,-474
42,43,VALID,PWR,Closed,Female,Eastern,RENTED,43.1558333333,Three Full Years,4,0,7,0,None,0,2013,2,5,2015,7,5,None,2035,457,4617,933,4333,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,-95
43,44,VALID,PWM,Open,Male,Northern,RENTED,72.0,Three Full Years,6,13,21,1,None,0,2011,9,30,2015,7,22,None,2035,457,3061,1,3574,1,-61,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,-112
44,45,VALID,PPL,Open,Male,Western,RENTED,45.852547619,Three Full Years,6,0,12,0,None,0,2015,3,3,2017,2,13,None,2035,457,1800,1,3687,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-683
45,46,VALID,KLA,Open,Female,Western,RENTED,48.0,Three Full Years,8,6,17,3,None,0,2011,10,13,2015,7,29,None,2035,457,1785,1,3507,1,-102,3,1,2,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1267,-119
46,47,VALID,PMM,Open,Female,Eastern,RENTED,67.0,Three Full Years,3,0,22,0,3,0,2014,3,13,2016,7,9,Paper based/Post,1403,457,102,1,3417,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,-464
47,48,VALID,MXX,Open,Female,Northern,RENTED,46.0,Three Full Years,10,12,17,1,None,1,2011,12,14,2015,7,23,None,2035,51,2370,468,2199,1,-101,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1206,-113
48,49,VALID,PRS,Open,Male,Western,RENTED,47.0,Three Full Years,6,0,22,0,None,0,2011,10,25,2015,7,31,None,2035,457,2554,1,1463,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,-121
49,50,VALID,POP,Open,Female,Northern,RENTED,61.0,Three Full Years,4,0,17,1,None,0,2012,2,15,2015,7,10,None,2035,457,2150,1,2948,1,-34,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1140,-100
50,51,VALID,PPL,Open,Male,Eastern,BOUGHT,52.0,Three Full Years,5,0,17,2,None,0,2014,10,25,2016,10,13,None,2035,457,1295,502,1658,1,-55,3,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,160,-558
51,52,VALID,PMM,Open,Male,Western,RENTED,55.9035833333,Three Full Years,4,0,22,0,None,0,2014,8,27,2016,8,4,None,2035,457,1340,658,1863,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,-489
