,Account Number,Commence Date,Address,Scheme,Staus,Gender,Region , Sale of Equipment Status,Age,Equipment Warranty,Salary Slab,Professional Info,Age of Home,Equipment Warranty Expiry Date,Query_freq,Realization_monnos,Default_number,Commence_year,Commence_month,Commence_day,Warrenty_year,Warrenty_month,Warrenty_day,Cardtype,schemecost,Closetdefaultdate,defaultsum,Hours,Posthours,daraGB,YYYYMM,Default,query_days,usage_number,LevelPaymentSettlement,LevelTech,Account,PaymentSettlement,Browsing,OperationalCapabilities,GeneralInformation,NoBrowse,Payment,FullPayment,Redirected,Nosupport/ThirdParty,SlowBrowse,Utilities,ExplanationofCharges,Change,MultipleItems/EntireBill,UpdatePaymentInformation,GeneralInquiry,Retention
0,V1,2012-09-27,VALID,PWR,Open,,Southern,RENTED,,Three Full Years,,,,2015-08-03,3,3,0,2012.0,9.0,27.0,2015.0,8.0,3.0, Card II TYPE,748.9649999999999,None,None,1635.8499999999999,0.0,230.44999999999999,604518.0,0,-50,3,1,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,V2,2012-01-26,VALID,PRS,Open,Female,Western,RENTED,71.0,Three Full Years,12.0,18.0,22.0,2016-08-03,0,3,0,2012.0,1.0,26.0,2016.0,8.0,3.0, Card II TYPE,824.6700000000001,None,None,2014.2299999999998,267.0,434.5,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,V3,2013-05-14,VALID,MXX,Open,Male,Eastern,BOUGHT,69.0,Three Full Years,9.0,8.0,22.0,2015-08-03,0,3,0,2013.0,5.0,14.0,2015.0,8.0,3.0, Card II TYPE,839.895,None,None,2151.3900000000003,60.0,551.60000000000002,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,V4,2011-10-12,VALID,PWM,Open,Male,Eastern,RENTED,71.0,Three Full Years,5.0,19.0,22.0,2015-07-30,0,3,0,2011.0,10.0,12.0,2015.0,7.0,30.0, Card II TYPE,1212.015,None,None,2032.3699999999999,0.0,208.5,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,V5,2014-07-31,VALID,KLA,Open,Male,Northern,RENTED,61.0,Three Full Years,6.0,13.0,22.0,2016-07-15,1,3,1,2014.0,7.0,31.0,2016.0,7.0,15.0, Card II TYPE,854.07,2015-07-13 00:00:00,713.4000000000001,2195.2200000000003,194.0,679.64999999999998,604518.0,0,-103,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,V6,2011-10-05,VALID,PMM,Open,Male,Northern,RENTED,67.0,Three Full Years,5.0,0.0,21.0,2015-07-20,1,3,0,2011.0,10.0,5.0,2015.0,7.0,20.0, Card II TYPE,775.1099999999999,None,None,1888.6300000000001,80.0,185.59999999999997,604518.0,0,-41,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6,V7,2011-10-28,VALID,PRR,Open,Female,Northern,RENTED,59.0,Three Full Years,6.0,5.0,17.0,2015-07-09,2,3,0,2011.0,10.0,28.0,2015.0,7.0,9.0, Card I TYPE,1803.165,None,None,2201.1400000000003,73.0,590.70000000000005,604518.0,0,-43,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,V8,2013-07-25,VALID,PRR,Open,Female,Eastern,Second Hand,62.0,Three Full Years,5.0,0.0,22.0,2015-07-10,0,3,0,2013.0,7.0,25.0,2015.0,7.0,10.0, Card II TYPE,839.895,None,None,2024.4000000000001,246.0,326.45000000000005,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,V9,2012-01-20,VALID,KLA,Open,Female,Northern,BOUGHT,43.0,Three Full Years,9.0,6.0,22.0,2015-07-28,0,3,0,2012.0,1.0,20.0,2015.0,7.0,28.0, Card II TYPE,944.895,None,None,2190.0799999999999,0.0,170.05000000000001,604518.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,V10,2012-07-05,VALID,PWM,Open,Male,Northern,BOUGHT,64.0,Three Full Years,5.0,6.0,22.0,2015-07-06,1,3,0,2012.0,7.0,5.0,2015.0,7.0,6.0, Card II TYPE,1123.395,None,None,1956.8199999999997,0.0,324.10000000000002,604518.0,0,-32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
