"","variable","relative_importance","scaled_importance","percentage"
"1","Scheme",16961.134765625,1,0.0750263487202679
"2","Staus",14255.1923828125,0.840462184859434,0.0630568089674622
"3","daraGB",12140.76171875,0.715798906530451,0.0537037783749401
"4","Age",11918.9033203125,0.702718508225549,0.0527224038503165
"5","Hours",11674.5693359375,0.688312987147432,0.0516416102024125
"6","Warrenty_day",10916.0478515625,0.643591835240055,0.0482863454642376
"7","schemecost",10675.1923828125,0.62939140159701,0.0472209387777555
"8","CommenceDays",9884.2919921875,0.582761243794838,0.0437224482976086
"9","defaultsum",8734.9599609375,0.514998558860612,0.0386384614675117
"10","Salary.Slab",7770.50146484375,0.458135706850945,0.0343722493034054
"11","Warrentydays",7638.31884765625,0.450342441894676,0.0337875490891269
"12","Age.of.Home",7627.65771484375,0.449713879421716,0.0337403903418381
"13","Realization_monnos",7450.43310546875,0.439265014306029,0.0329564501439376
"14","Posthours",7339.046875,0.432697869359189,0.0324637412370594
"15","Warrenty_month",6648.4619140625,0.391982140695968,0.0294089887799728
"16","query_days.1",5860.46875,0.345523388085882,0.0259233582055399
"17","Default_number",5825.501953125,0.343461804509183,0.0257686851171984
"18","query_days",5792.60107421875,0.34152202398383,0.0256231504670625
"19","Region",5175.76611328125,0.305154471372454,0.0228946257827387
"20","Professional.Info",3958.91796875,0.23341114987032,0.0175119863253694
"21","Retention",3518.03564453125,0.207417469004564,0.0155617753602117
"22","Query_freq",3175.38037109375,0.187215089967286,0.0140460646255819
"23","usage_number.1",2932.88208007812,0.172917798284474,0.0129733910340319
"24","usage_number",2850.21264648438,0.168043747418414,0.0126077087940746
"25","Gender",2818.1181640625,0.166151510674507,0.0124657411802649
"26","LevelTech",2676.71826171875,0.157814810076483,0.0118402689740211
"27","Cardtype",2636.61669921875,0.155450489348293,0.0116628826225813
"28","LevelPaymentSettlement",2380.611328125,0.140356842924789,0.0105304614425511
"29","Account",2288.08666992188,0.134901744578973,0.0101211853317545
"30","GeneralInformation",2058.64624023438,0.121374322454333,0.00910627224214506
"31","Redirected",1994.33618164062,0.117582709482536,0.00882180136511069
"32","Nosupport.ThirdParty",1953.26904296875,0.11516146000605,0.0086401438575491
"33","Warrenty_year",1934.26953125,0.114041280726698,0.00855610089630721
"34","OperationalCapabilities",1682.22241210938,0.0991810061859023,0.00744118875653055
"35","Sale.of.Equipment.Status",1645.64916992188,0.0970247092934548,0.00727940967393335
"36","Browsing",1603.11682128906,0.0945170735001815,0.00709127091644381
"37","NoBrowse",1308.63195800781,0.0771547408879745,0.00578863849528308
"38","Address",1197.21276855469,0.0705856527348081,0.00529578379672944
"39","PaymentSettlement",1194.62731933594,0.0704332189941135,0.00528434724974335
"40","Change",1151.42712402344,0.0678862080830244,0.00509325432093365
"41","SlowBrowse",1030.47229003906,0.0607549143544047,0.00455821939082357
"42","Payment",992.516784667969,0.0585171215477572,0.00439032596734833
"43","FullPayment",863.26318359375,0.0508965464588678,0.00381858204328033
"44","Default",673.645568847656,0.0397170105748425,0.0029798222855147
"45","ExplanationofCharges",651.404479980469,0.0384057133547848,0.00288144044300673
"46","Utilities",608.939575195312,0.0359020539374197,0.00269360001848271
