Address,Scheme,Staus,Gender,Region,Sale.of.Equipment.Status,Age,Equipment.Warranty,Salary.Slab,Professional.Info,Age.of.Home,Query_freq,Realization_monnos,Default_number,Commence_year,Commence_month,Commence_day,Warrenty_year,Warrenty_month,Warrenty_day,Cardtype,schemecost,defaultsum,Hours,Posthours,daraGB,Default,query_days,usage_number,LevelPaymentSettlement,LevelTech,Account,PaymentSettlement,Browsing,OperationalCapabilities,GeneralInformation,NoBrowse,Payment,FullPayment,Redirected,Nosupport/ThirdParty,SlowBrowse,Utilities,ExplanationofCharges,Change,MultipleItems/EntireBill,UpdatePaymentInformation,GeneralInquiry,Retention,CommenceDays,Warrentydays
VALID,PWR,Open,Male,Southern,RENTED,55.70008701,Three Full Years,5,0,22,3,3,0,2012,9,27,2015,8,3, Card II TYPE,748.965,0,1635.85,0,230.45,0,-50,3,1,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1038,-3
VALID,PRS,Open,Female,Western,RENTED,71,Three Full Years,12,18,22,0,3,0,2012,1,26,2016,8,3, Card II TYPE,824.67,0,2014.23,267,434.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,-368
VALID,MXX,Open,Male,Eastern,BOUGHT,69,Three Full Years,9,8,22,0,3,0,2013,5,14,2015,8,3, Card II TYPE,839.895,0,2151.39,60,551.6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,-3
VALID,PWM,Open,Male,Eastern,RENTED,71,Three Full Years,5,19,22,0,3,0,2011,10,12,2015,7,30, Card II TYPE,1212.015,0,2032.37,0,208.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,0
VALID,KLA,Open,Male,Northern,RENTED,61,Three Full Years,6,13,22,1,3,1,2014,7,31,2016,7,15, Card II TYPE,854.07,713.4,2195.22,194,679.65,0,-103,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,364,-350
VALID,PMM,Open,Male,Northern,RENTED,67,Three Full Years,5,0,21,1,3,0,2011,10,5,2015,7,20, Card II TYPE,775.11,0,1888.63,80,185.6,0,-41,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1395,10
VALID,PRR,Open,Female,Northern,RENTED,59,Three Full Years,6,5,17,2,3,0,2011,10,28,2015,7,9, Card I TYPE,1803.165,0,2201.14,73,590.7,0,-43,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1372,21
VALID,PRR,Open,Female,Eastern,Second Hand,62,Three Full Years,5,0,22,0,3,0,2013,7,25,2015,7,10, Card II TYPE,839.895,0,2024.4,246,326.45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,20
VALID,KLA,Open,Female,Northern,BOUGHT,43,Three Full Years,9,6,22,0,3,0,2012,1,20,2015,7,28, Card II TYPE,944.895,0,2190.08,0,170.05,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285,2
VALID,PWM,Open,Male,Northern,BOUGHT,64,Three Full Years,5,6,22,1,3,0,2012,7,5,2015,7,6, Card II TYPE,1123.395,0,1956.82,0,324.1,0,-32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1120,24
