Account Number,Address,Scheme,Staus,Gender,Region,Sale.of.Equipment.Status,Age,Equipment.Warranty,Salary.Slab,Professional.Info,Age.of.Home,Categ,Query_freq,Realization_monnos,Default_number,Commence_year,Commence_month,Commence_day,Warrenty_year,Warrenty_month,Warrenty_day,Cardtype,schemecost,defaultsum,Hours,Posthours,daraGB,Default,query_days,usage_number,LevelPaymentSettlement,LevelTech,Account,PaymentSettlement,Browsing,OperationalCapabilities,GeneralInformation,NoBrowse,Payment,FullPayment,Redirected,Nosupport/ThirdParty,SlowBrowse,Utilities,ExplanationofCharges,Change,MultipleItems/EntireBill,UpdatePaymentInformation,GeneralInquiry,Retention,CommenceDays,Warrentydays
M1,VALID,KLA,Open,Female,Northern,RENTED,70,Three Full Years,5,0,17,0,0,3,0,2011,11,4,2015,4,3, Card II TYPE,1209.81,0,2015,0,263.25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246,-3
M2,VALID,PPL,Open,Female,Western,RENTED,55,Three Full Years,7,0,22,0,6,3,0,2011,11,28,2015,4,3, Card II TYPE,751.695,0,1844.29,5,272.8,0,7,3,3,3,2,0,3,3,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1222,-3
M3,VALID,KLA,Open,Male,Eastern,RENTED,64,Three Full Years,1,5,17,0,0,3,0,2011,12,6,2016,4,3, Card II TYPE,1064.385,0,2012.82,0,194.85,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,-368
M4,VALID,MXX,Open,Female,Northern,RENTED,66,Three Full Years,6,14,22,0,0,3,0,2011,10,28,2015,4,3, Card II TYPE,963.375,0,2010.53,0,172,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,-3
M5,VALID,PRP,Open,Male,Western,RENTED,47.11166667,Full Year,5,0,12,0,1,3,0,2015,1,18,2016,1,3, Card II TYPE,839.895,0,1293.18,0,17.6,0,76,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,72,-278
M6,VALID,KLA,Open,Male,Eastern,BOUGHT,48.81,Three Full Years,3,0,21,0,0,2,0,2013,9,5,2015,9,3,Paper based/Post,1077.72,0,2182.69,36,404.55,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,-153
M7,VALID,KLA,Open,Male,Eastern,BOUGHT,46.79,Three Full Years,1,0,7,0,0,3,0,2012,7,5,2015,4,3, Card I TYPE,839.895,0,1029.58,0,262.1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-3
M8,VALID,PWM,Open,Female,Eastern,RENTED,49,Three Full Years,10,5,21,0,0,3,0,2011,12,1,2015,3,20, Card I TYPE,1168.965,0,2147.63,0,435.05,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219,10
M9,VALID,PWR,Open,Female,Eastern,RENTED,63,Three Full Years,6,5,17,0,0,3,0,2011,10,13,2015,3,9, Card II TYPE,643.965,0,2142.04,0,231.4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267,21
M10,VALID,PWM,Open,Male,Western,RENTED,79,Three Full Years,5,14,17,0,0,3,0,2011,11,17,2015,3,11, Card II TYPE,1171.695,0,1814.4,0,101.85,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,19
