,variable,relative_importance,scaled_importance,percentage
1,Scheme,16529.96484,1,0.073421072
2,Staus,13898.46191,0.840804082,0.061732737
3,Hours,13502.31543,0.816838726,0.059973175
4,Age,12348.19336,0.747018731,0.054846916
5,Warrenty_day,11736.80176,0.710031864,0.052131301
6,CommenceDays,10695.55859,0.647040614,0.047506415
7,daraGB,9958.292969,0.602438847,0.044231706
8,Realization_monnos,9713.77832,0.587646641,0.043145646
9,Salary.Slab,8758.545898,0.529858713,0.038902795
10,Warrentydays,8530.201172,0.516044726,0.037888557
11,Age.of.Home,8273.360352,0.500506833,0.036747748
12,schemecost,7603.231445,0.459966583,0.03377124
13,Default_number,7499.556152,0.453694622,0.033310745
14,defaultsum,7479.913574,0.452506321,0.033223499
15,query_days,7249.596191,0.438572995,0.032200499
16,Warrenty_month,6853.432617,0.414606606,0.030440861
17,Posthours,6528.337891,0.394939611,0.02899689
18,Region,5557.989258,0.33623721,0.024686896
19,Professional.Info,4202.253418,0.254220348,0.01866513
20,usage_number,4140.374023,0.25047688,0.018390281
21,Retention,3631.666748,0.219702025,0.016130758
22,Query_freq,3013.563721,0.182309143,0.013385333
23,Gender,2986.783936,0.180689068,0.013266385
24,LevelTech,2889.708008,0.174816343,0.012835203
25,Cardtype,2858.673096,0.172938849,0.012697356
26,LevelPaymentSettlement,2567.726318,0.155337676,0.011405059
27,Account,2471.977295,0.149545224,0.010979771
28,Warrenty_year,1906.458252,0.115333473,0.008467907
29,Nosupport.ThirdParty,1865.101563,0.11283155,0.008284213
30,Redirected,1826.827637,0.110516124,0.008114212
31,GeneralInformation,1816.821045,0.109910763,0.008069766
32,OperationalCapabilities,1767.416504,0.106921976,0.007850326
33,Browsing,1738.625122,0.105180207,0.007722444
34,Sale.of.Equipment.Status,1718.007568,0.103932923,0.007630867
35,Address,1515.136841,0.091660016,0.006729777
36,NoBrowse,1367.785767,0.082745836,0.006075288
37,PaymentSettlement,1331.702026,0.080562907,0.005915015
38,Payment,1136.062134,0.068727438,0.005046042
39,SlowBrowse,1129.759155,0.068346132,0.005018046
40,Change,1117.583252,0.067609536,0.004963965
41,FullPayment,1065.013184,0.064429247,0.004730464
42,Default,843.4012451,0.051022567,0.003746132
43,Utilities,769.9979248,0.046581946,0.003420096
44,ExplanationofCharges,743.2894897,0.044966187,0.003301466
