,Account Number,Commence Date,Address,Scheme,Staus,Gender,Region , Sale of Equipment Status,Age,Equipment Warranty,Salary Slab,Professional Info,Age of Home,Equipment Warranty Expiry Date,Churn Date,Categ,Query_freq,payment_number,Default_number
0,M1,2011-11-04,VALID,KLA,Open,Female,Northern,RENTED,70.0,Three Full Years,5.0,0.0,17.0,2015-04-03,0,0,0,3,0
1,M2,2011-11-28,VALID,PPL,Open,Female,Western,RENTED,55.0,Three Full Years,7.0,0.0,22.0,2015-04-03,0,0,6,3,0
2,M3,2011-12-06,VALID,KLA,Open,Male,Eastern,RENTED,64.0,Three Full Years,1.0,5.0,17.0,2016-04-03,0,0,0,3,0
3,M4,2011-10-28,VALID,MXX,Open,Female,Northern,RENTED,66.0,Three Full Years,6.0,14.0,22.0,2015-04-03,0,0,0,3,0
4,M5,2015-01-18,VALID,PRP,Open,,Western,RENTED,,Full Year,,,,2016-01-03,0,0,1,3,0
5,M6,2013-09-05,VALID,KLA,Open,,Eastern,BOUGHT,,Three Full Years,,,,2015-09-03,0,0,0,3,0
6,M7,2012-07-05,VALID,KLA,Open,,Eastern,BOUGHT,,Three Full Years,,,,2015-04-03,0,0,0,3,0
7,M8,2011-12-01,VALID,PWM,Open,Female,Eastern,RENTED,49.0,Three Full Years,10.0,5.0,21.0,2015-03-20,0,0,0,3,0
8,M9,2011-10-13,VALID,PWR,Open,Female,Eastern,RENTED,63.0,Three Full Years,6.0,5.0,17.0,2015-03-09,0,0,0,3,0
9,M10,2011-11-17,VALID,PWM,Open,Male,Western,RENTED,79.0,Three Full Years,5.0,14.0,17.0,2015-03-11,0,0,0,3,0
10,M11,2011-11-01,VALID,KLA,Open,Male,Northern,RENTED,44.0,Three Full Years,4.0,0.0,21.0,2015-03-23,0,0,0,3,0
11,M12,2012-08-01,VALID,POP,Open,Female,Northern,RENTED,63.0,Three Full Years,7.0,5.0,22.0,2015-04-03,0,0,0,3,0
12,M13,2013-12-17,VALID,PRP,Open,Male,Eastern,RENTED,60.0,Three Full Years,7.0,6.0,22.0,2016-04-03,0,0,4,3,0
13,M14,2011-10-05,VALID,POP,Open,Male,Northern,RENTED,46.0,Three Full Years,9.0,0.0,22.0,2015-04-03,0,0,0,3,0
14,M15,2012-06-08,VALID,PWR,Open,Female,Eastern,BOUGHT,60.0,Three Full Years,7.0,10.0,22.0,2015-03-16,0,0,3,3,0
15,M16,2011-11-22,VALID,POP,Open,Male,Northern,RENTED,64.0,Three Full Years,7.0,18.0,17.0,2015-03-06,0,0,0,3,0
16,M17,2011-12-12,VALID,KLA,Open,Male,Eastern,RENTED,38.0,Three Full Years,6.0,5.0,17.0,2015-03-12,0,0,4,3,0
17,M18,2012-04-19,VALID,PWR,Open,Male,Eastern,RENTED,72.0,Three Full Years,4.0,0.0,22.0,2015-03-12,0,0,2,3,0
18,M19,2011-10-20,VALID,PWR,Open,Male,Northern,RENTED,59.0,Three Full Years,3.0,8.0,22.0,2015-03-13,0,0,0,3,0
19,M20,2013-01-17,VALID,PWR,Open,Male,Western,RENTED,45.0,,3.0,0.0,4.0,,0,0,0,3,0
20,M21,2012-12-01,VALID,PWR,Open,Male,Southern,BOUGHT,52.0,,7.0,0.0,21.0,,0,0,0,3,0
21,M22,2012-07-03,VALID,PRR,Open,Male,Western,BOUGHT,61.0,Three Full Years,6.0,0.0,22.0,2015-03-24,0,0,1,2,0
22,M23,2011-10-26,VALID,PWR,Open,Female,Eastern,RENTED,68.0,Three Full Years,4.0,14.0,21.0,2015-03-25,0,0,0,3,0
23,M24,2012-06-09,VALID,PWM,Open,Male,Eastern,BOUGHT,48.0,Three Full Years,9.0,6.0,21.0,2015-03-17,0,0,0,3,0
24,M25,2011-10-11,VALID,MXX,Open,Male,Western,RENTED,60.0,Three Full Years,7.0,5.0,22.0,2015-03-19,0,0,1,3,0
25,M26,2013-08-02,VALID,CNN,Open,,Northern,BOUGHT,,Full Year Plus 3 Months,,,,2015-03-08,0,0,0,3,0
