"","Address","Scheme","Staus","Gender","Region","Sale.of.Equipment.Status","Age","Equipment.Warranty","Salary.Slab","Professional.Info","Age.of.Home","Categ","Query_freq","Realization_monnos","Default_number","Commence_year","Commence_month","Commence_day","Warrenty_year","Warrenty_month","Warrenty_day","Cardtype","schemecost","defaultsum","Hours","Posthours","daraGB"
"1","VALID","KLA","Open","Female","Northern","RENTED",70,"Three Full Years","5","0","17","0","0","3","0","2011","11","4","2011","11","4"," Card II TYPE",619,882,5142,1,2658
"2","VALID","PPL","Open","Female","Western","RENTED",55,"Three Full Years","7","0","22","0","6","3","0","2011","11","28","2011","11","28"," Card II TYPE",2383,882,2800,643,2782
"3","VALID","KLA","Open","Male","Eastern","RENTED",64,"Three Full Years","1","5","17","0","0","3","0","2011","12","6","2011","12","6"," Card II TYPE",218,882,5093,1,1710
"4","VALID","MXX","Open","Female","Northern","RENTED",66,"Three Full Years","6","14","22","0","0","3","0","2011","10","28","2011","10","28"," Card II TYPE",3240,882,5036,1,1364
"5","VALID","PRP","Open","Male","Western","RENTED",47.1116666666667,"Full Year","5","0","12","0","1","3","0","2015","1","18","2015","1","18"," Card II TYPE",2807,882,327,1,1333
"6","VALID","KLA","Open","Male","Eastern","BOUGHT",48.81,"Three Full Years","3","0","21","0","0","2","0","2013","9","5","2013","9","5","Paper based/Post",259,882,8000,493,4164
"7","VALID","KLA","Open","Male","Eastern","BOUGHT",46.79,"Three Full Years","1","0","7","0","0","3","0","2012","7","5","2012","7","5"," Card I TYPE",2807,882,32,1,2645
"8","VALID","PWM","Open","Female","Eastern","RENTED",49,"Three Full Years","10","5","21","0","0","3","0","2011","12","1","2011","12","1"," Card I TYPE",514,882,7317,1,4403
"9","VALID","PWR","Open","Female","Eastern","RENTED",63,"Three Full Years","6","5","17","0","0","3","0","2011","10","13","2011","10","13"," Card II TYPE",1930,882,7189,1,2238
"10","VALID","PWM","Open","Male","Western","RENTED",79,"Three Full Years","5","14","17","0","0","3","0","2011","11","17","2011","11","17"," Card II TYPE",529,882,2451,1,93
"11","VALID","KLA","Open","Male","Northern","RENTED",44,"Three Full Years","4","0","21","0","0","3","0","2011","11","1","2011","11","1"," Card II TYPE",977,882,4001,1036,694
"12","VALID","POP","Open","Female","Northern","RENTED",63,"Three Full Years","7","5","22","0","0","3","0","2012","8","1","2012","8","1"," Card II TYPE",3237,882,5446,1,3070
"13","VALID","PRP","Open","Male","Eastern","RENTED",60,"Three Full Years","7","6","22","0","4","3","0","2013","12","17","2013","12","17"," Card II TYPE",3195,882,7997,313,4237
"14","VALID","POP","Open","Male","Northern","RENTED",46,"Three Full Years","9","0","22","0","0","3","0","2011","10","5","2011","10","5"," Card II TYPE",3242,882,7648,1,2127
"15","VALID","PWR","Open","Female","Eastern","BOUGHT",60,"Three Full Years","7","10","22","0","3","3","0","2012","6","8","2012","6","8","Paper based/Post",2100,882,2134,1,4511
"16","VALID","POP","Open","Male","Northern","RENTED",64,"Three Full Years","7","18","17","0","0","3","0","2011","11","22","2011","11","22"," Card I TYPE",3186,882,3959,1,4271
"17","VALID","KLA","Open","Male","Eastern","RENTED",38,"Three Full Years","6","5","17","0","4","3","0","2011","12","12","2011","12","12"," Card II TYPE",71,882,4836,330,77
"18","VALID","PWR","Open","Male","Eastern","RENTED",72,"Three Full Years","4","0","22","0","2","3","0","2012","4","19","2012","4","19"," Card II TYPE",1940,882,7329,746,2109
"19","VALID","PWR","Open","Male","Northern","RENTED",59,"Three Full Years","3","8","22","0","0","3","0","2011","10","20","2011","10","20"," Card II TYPE",2045,882,2121,1,249
"20","VALID","PWR","Open","Male","Western","RENTED",45,"Three Full Years","3","0","4","0","0","3","0","2013","1","17","2013","1","17"," Card II TYPE",2383,882,5824,1,6504
"21","VALID","PWR","Open","Male","Southern","BOUGHT",52,"Three Full Years","7","0","21","0","0","3","0","2012","12","1","2012","12","1"," Card II TYPE",1873,882,6378,1,2614
"22","VALID","PRR","Open","Male","Western","BOUGHT",61,"Three Full Years","6","0","22","0","1","2","0","2012","7","3","2012","7","3"," Card II TYPE",1415,882,7848,562,5572
"23","VALID","PWR","Open","Female","Eastern","RENTED",68,"Three Full Years","4","14","21","0","0","3","0","2011","10","26","2011","10","26"," Card I TYPE",2099,882,3159,1,1272
"24","VALID","PWM","Open","Male","Eastern","BOUGHT",48,"Three Full Years","9","6","21","0","0","3","0","2012","6","9","2012","6","9"," Card II TYPE",175,882,5863,1,5724
