"","x"
"1",44.56333333
"2",41.965
"3",39
"4",20
"5",40.85333333
"6",32
"7",47
"8",59
"9",71
"10",40
"11",39.69
"12",93
"13",43.756
"14",48
"15",59
"16",53
"17",55
"18",51
"19",54
"20",50
"21",60
"22",44.97383333
"23",32
"24",25
"25",47.115
"26",23
"27",53
"28",41
"29",22
"30",50.285
"31",54
"32",40.76769231
"33",56
"34",30
"35",66
"36",45.94807143
"37",46
"38",36
"39",34
"40",30
"41",63
"42",47
"43",45.275
"44",56
"45",45
"46",28
"47",43.46366667
"48",42.665
"49",53
"50",69
"51",48
"52",52
"53",48.19566667
"54",44
"55",20
"56",48.752
"57",23
"58",39.76666667
"59",49
"60",35
"61",28
"62",60
"63",72
"64",53
"65",47.22383333
"66",35
"67",38
"68",36
"69",42.742
"70",56
"71",62
"72",34
"73",40
"74",49.1
"75",60
"76",37
"77",43.98027778
"78",40
"79",41.0047619
"80",44
"81",41.763
"82",50.5985
"83",29
"84",40.7585
"85",39
"86",35
"87",54
"88",43.12333333
"89",46.75833333
"90",24
"91",49
"92",36
"93",47
"94",56
"95",56
"96",30
"97",58
"98",41.72666667
"99",26
"100",41
"101",40
"102",30
"103",24
"104",31
"105",62
"106",52
"107",45
"108",32
"109",65
"110",58
"111",48.54285714
"112",30
"113",53
"114",41
"115",31
"116",59
"117",68
"118",27
"119",40.21934211
"120",45
"121",54
"122",63
"123",63
"124",43.04166667
"125",63
"126",36
"127",48.62
"128",30
"129",42.38914286
"130",52
"131",55
"132",39
"133",62
"134",39
"135",53
"136",44
"137",49
"138",22
"139",44.94666667
"140",48
"141",36
"142",67
"143",40
"144",27
"145",38.07
"146",38.18
"147",44.5175
"148",66
"149",48.27
"150",42.84333333
"151",69
"152",65
"153",47
"154",54.069
"155",57
"156",60
"157",41.625
"158",39.455
"159",40.98283333
"160",44.16727273
"161",39.34887395
"162",18
"163",36
"164",43.46625
"165",59
"166",28
"167",51
"168",45.265
"169",50
"170",18
"171",45
"172",78
"173",50
"174",50.8315
"175",49
"176",42
"177",41.91
"178",32
"179",47
"180",42.67746499
"181",48.45666667
"182",69
"183",39
"184",56
"185",50
"186",52.12090909
"187",44.945
"188",48
"189",38
"190",32
"191",42
"192",33
"193",50
"194",42.42
"195",67
"196",49
"197",46
"198",54
"199",39
"200",53
"201",43.22
"202",45.35
"203",43
"204",33
"205",54
"206",47
"207",65
"208",67
"209",81
"210",32
"211",47.12
"212",55.23
"213",49
"214",28
"215",45.57133333
"216",86
"217",31
"218",39
"219",66
"220",62
"221",64
"222",51.011
"223",23
"224",41
"225",51.114
"226",43.184
"227",40.188
"228",37
"229",42.83333333
"230",57
"231",56
"232",48
"233",55
"234",58
"235",31
"236",67
"237",52
"238",47
"239",55
"240",49
"241",72
"242",18
"243",41
"244",49
"245",50
"246",54
"247",76
"248",49.802
"249",40.38166667
"250",42.40666667
"251",29
"252",41.68666667
"253",30
"254",47.01285714
"255",45.287
"256",66
"257",65
"258",23
"259",52
"260",52.135
"261",44
"262",53
"263",20
"264",59
"265",64
"266",45.88
"267",28
"268",45.44833333
"269",59
"270",23
"271",45.61666667
"272",52
"273",49.07166667
"274",67
"275",28
"276",54
"277",40.479
"278",68
"279",46
"280",39.3825
"281",43.26933333
"282",48
"283",57
"284",49.122
"285",48
"286",51
"287",45
"288",27
"289",56
"290",46
"291",53
"292",39
"293",42
"294",34
"295",45.01190476
"296",43
"297",71
"298",55
"299",49
"300",52
"301",65
"302",59
"303",43.17666667
"304",41.6
"305",36
"306",49
"307",34
"308",52
"309",50.0705
"310",39
"311",43
"312",50
"313",66
"314",61
"315",40
"316",25
"317",44.36883333
"318",42.47170635
"319",28
"320",44.1619249
"321",28
"322",45.005
"323",73
"324",45.27133333
"325",30
"326",41
"327",60
"328",45
"329",54
"330",44
"331",47
"332",70
"333",39
"334",46.59333333
"335",47.25433333
"336",44.3675
"337",25
"338",36
"339",61
"340",71
"341",62
"342",41.64
"343",48.75
"344",58
"345",55
"346",60
"347",33
"348",53
"349",65
"350",45
"351",38
"352",41
"353",25
"354",46
"355",34
"356",49.57233333
"357",44.2125
"358",44.60227273
"359",43
"360",29
"361",46
"362",50
"363",40
"364",47
"365",53.3925
"366",48.29
"367",36
"368",39
"369",55
"370",46.4
"371",72
"372",43.52833333
"373",29
"374",60
"375",35
"376",35
"377",60
"378",46
"379",53
"380",45
"381",31
"382",47
"383",44.78083333
"384",54
"385",47.28619048
"386",44
"387",23
"388",42
"389",44.8
"390",44.51483333
"391",46
"392",69
"393",45
"394",48.20666667
"395",44.77416667
"396",44.58
"397",56
"398",77
"399",47
"400",58
"401",33.9275
"402",73
"403",44
"404",26
"405",38
"406",31
"407",45
"408",56.99071429
"409",53
"410",65
"411",58
"412",26
"413",47
"414",42
"415",44.39424242
"416",41
"417",45
"418",33
"419",41
"420",57
"421",18
"422",69
"423",31
"424",53.31333333
"425",36.27166667
"426",63
"427",43.61
"428",61
"429",43
"430",47
"431",41
"432",54
"433",47.7175
"434",49
"435",59
"436",52
"437",57
"438",67
"439",45
"440",47
"441",72
"442",51
"443",41.80416667
"444",24
"445",36
"446",30
"447",18
"448",44.87666667
"449",34
"450",41
"451",44.07
"452",42.106
"453",35
"454",29
"455",45.21
"456",52
"457",41.57666667
"458",70
"459",45.95785714
"460",45.9175
"461",40.914
"462",22
"463",44.63565217
"464",53
"465",33
"466",69
"467",73
"468",59
"469",42
"470",69
"471",47.26833333
"472",31
"473",43.4512381
"474",81
"475",57
"476",59
"477",49.23166667
"478",42.215
"479",44.90333333
"480",50
"481",48.2775
"482",46.10444444
"483",31
"484",48.52285714
"485",33
"486",55
"487",51
"488",71
"489",36
"490",39.82233333
"491",40
"492",52
"493",54
"494",27
"495",37
"496",46.38833333
"497",38
"498",61
"499",43.08
"500",70
"501",43
"502",45.44
"503",59
"504",57
"505",38
"506",40
