,Account Number,Address,Scheme,Staus,Gender,Region,Sale.of.Equipment.Status,Age,Equipment.Warranty,Salary.Slab,Professional.Info,Age.of.Home,Categ,Query_freq,Realization_monnos,Default_number,Commence_year,Commence_month,Commence_day,Warrenty_year,Warrenty_month,Warrenty_day,Cardtype,schemecost,defaultsum,Hours,Posthours,daraGB,Default,query_days,usage_number,CommenceDays,Warrentydays
0,M1,VALID,KLA,Open,Female,Northern,RENTED,70.0,Three Full Years,5,0,17,0,0,3,0,2011,11,4,2015,4,3, Card II TYPE,619,882,5142,1,2658,0,0,3,1246,-3
1,M2,VALID,PPL,Open,Female,Western,RENTED,55.0,Three Full Years,7,0,22,0,6,3,0,2011,11,28,2015,4,3, Card II TYPE,2383,882,2800,643,2782,0,7,3,1222,-3
2,M3,VALID,KLA,Open,Male,Eastern,RENTED,64.0,Three Full Years,1,5,17,0,0,3,0,2011,12,6,2016,4,3, Card II TYPE,218,882,5093,1,1710,0,0,3,1214,-368
3,M4,VALID,MXX,Open,Female,Northern,RENTED,66.0,Three Full Years,6,14,22,0,0,3,0,2011,10,28,2015,4,3, Card II TYPE,3240,882,5036,1,1364,0,0,3,1252,-3
4,M5,VALID,PRP,Open,Male,Western,RENTED,47.11166667,Full Year,5,0,12,0,1,3,0,2015,1,18,2016,1,3, Card II TYPE,2807,882,327,1,1333,0,76,3,72,-278
5,M6,VALID,KLA,Open,Male,Eastern,BOUGHT,48.81,Three Full Years,3,0,21,0,0,2,0,2013,9,5,2015,9,3,Paper based/Post,259,882,8000,493,4164,0,0,3,575,-153
6,M7,VALID,KLA,Open,Male,Eastern,BOUGHT,46.79,Three Full Years,1,0,7,0,0,3,0,2012,7,5,2015,4,3, Card I TYPE,2807,882,32,1,2645,0,0,3,1000,-3
7,M8,VALID,PWM,Open,Female,Eastern,RENTED,49.0,Three Full Years,10,5,21,0,0,3,0,2011,12,1,2015,3,20, Card I TYPE,514,882,7317,1,4403,0,0,3,1219,10
8,M9,VALID,PWR,Open,Female,Eastern,RENTED,63.0,Three Full Years,6,5,17,0,0,3,0,2011,10,13,2015,3,9, Card II TYPE,1930,882,7189,1,2238,0,0,3,1267,21
9,M10,VALID,PWM,Open,Male,Western,RENTED,79.0,Three Full Years,5,14,17,0,0,3,0,2011,11,17,2015,3,11, Card II TYPE,529,882,2451,1,93,0,0,3,1233,19
10,M11,VALID,KLA,Open,Male,Northern,RENTED,44.0,Three Full Years,4,0,21,0,0,3,0,2011,11,1,2015,3,23, Card II TYPE,977,882,4001,1036,694,0,0,3,1249,7
11,M12,VALID,POP,Open,Female,Northern,RENTED,63.0,Three Full Years,7,5,22,0,0,3,0,2012,8,1,2015,4,3, Card II TYPE,3237,882,5446,1,3070,0,0,3,974,-3
12,M13,VALID,PRP,Open,Male,Eastern,RENTED,60.0,Three Full Years,7,6,22,0,4,3,0,2013,12,17,2016,4,3, Card II TYPE,3195,882,7997,313,4237,0,69,3,473,-368
13,M14,VALID,POP,Open,Male,Northern,RENTED,46.0,Three Full Years,9,0,22,0,0,3,0,2011,10,5,2015,4,3, Card II TYPE,3242,882,7648,1,2127,0,0,3,1275,-3
14,M15,VALID,PWR,Open,Female,Eastern,BOUGHT,60.0,Three Full Years,7,10,22,0,3,3,0,2012,6,8,2015,3,16,Paper based/Post,2100,882,2134,1,4511,0,55,3,1027,14
15,M16,VALID,POP,Open,Male,Northern,RENTED,64.0,Three Full Years,7,18,17,0,0,3,0,2011,11,22,2015,3,6, Card I TYPE,3186,882,3959,1,4271,0,0,3,1228,24
