"","Address","Scheme","Staus","Gender","Region","Sale.of.Equipment.Status","Age","Equipment.Warranty","Salary.Slab","Professional.Info","Age.of.Home","Query_freq","Realization_monnos","Default_number","Commence_year","Commence_month","Commence_day","Warrenty_year","Warrenty_month","Warrenty_day","Cardtype","schemecost","defaultsum","Hours","Posthours","daraGB","Default","query_days","usage_number","LevelPaymentSettlement","LevelTech","Account","PaymentSettlement","Browsing","OperationalCapabilities","GeneralInformation","NoBrowse","Payment","FullPayment","Redirected","Nosupport.ThirdParty","SlowBrowse","Utilities","ExplanationofCharges","Change","MultipleItems.EntireBill","UpdatePaymentInformation","GeneralInquiry","Retention","CommenceDays","Warrentydays"
"1","VALID","PWR","Open","Male","Southern","RENTED",55.7000870098,"Three Full Years",5,0,22,3,"3",0,2012,9,27,2015,8,3," Card II TYPE",1395,457,497,1,1522,0,-50,3,1,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,918,-123
"2","VALID","PRS","Open","Female","Western","RENTED",71,"Three Full Years",12,18,22,0,"3",0,2012,1,26,2016,8,3," Card II TYPE",1638,457,2199,340,2944,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,-488
"3","VALID","MXX","Open","Male","Eastern","BOUGHT",69,"Three Full Years",9,8,22,0,"3",0,2013,5,14,2015,8,3," Card II TYPE",1696,457,3073,648,3401,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,-123
"4","VALID","PWM","Open","Male","Eastern","RENTED",71,"Three Full Years",5,19,22,0,"3",0,2011,10,12,2015,7,30," Card II TYPE",375,457,2315,1,1289,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,-120
"5","VALID","KLA","Open","Male","Northern","RENTED",61,"Three Full Years",6,13,22,1,"3",1,2014,7,31,2016,7,15," Card II TYPE",1736,316,3875,269,3727,0,-103,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,244,-470
"6","VALID","PMM","Open","Male","Northern","RENTED",67,"Three Full Years",5,0,21,1,"3",0,2011,10,5,2015,7,20," Card II TYPE",1498,457,1445,804,1056,0,-41,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1275,-110
"7","VALID","PRR","Open","Female","Northern","RENTED",59,"Three Full Years",6,5,17,2,"3",0,2011,10,28,2015,7,9," Card I TYPE",675,457,4157,756,3508,0,-43,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1252,-99
"8","VALID","PRR","Open","Female","Eastern","Second Hand",62,"Three Full Years",5,0,22,0,"3",0,2013,7,25,2015,7,10," Card II TYPE",1696,457,2264,319,2288,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,-100
"9","VALID","KLA","Open","Female","Northern","BOUGHT",43,"Three Full Years",9,6,22,0,"3",0,2012,1,20,2015,7,28," Card II TYPE",1928,457,3636,1,888,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,-118
"10","VALID","PWM","Open","Male","Northern","BOUGHT",64,"Three Full Years",5,6,22,1,"3",0,2012,7,5,2015,7,6," Card II TYPE",243,457,1884,1,2276,0,-32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1000,-96
