,Account Number,Commence Date,Address,Scheme,Staus,Gender,Region , Sale of Equipment Status,Age,Equipment Warranty,Salary Slab,Professional Info,Age of Home,Equipment Warranty Expiry Date,Churn Date,Categ,Query_freq,Realization_monnos,Default_number,Commence_year,Commence_month,Commence_day,Warrenty_year,Warrenty_month,Warrenty_day,Cardtype,schemecost,Closetdefaultdate,defaultsum,Hours,Posthours,daraGB,YYYYMM,Default,query_days,usage_number,LevelPaymentSettlement,LevelTech,Account,PaymentSettlement,Browsing,OperationalCapabilities,GeneralInformation,NoBrowse,Payment,FullPayment,Redirected,Nosupport/ThirdParty,SlowBrowse,Utilities,ExplanationofCharges,Change,MultipleItems/EntireBill,UpdatePaymentInformation,GeneralInquiry,Retention
0,M1,2011-11-04,VALID,KLA,Open,Female,Northern,RENTED,70.0,Three Full Years,5.0,0.0,17.0,2015-04-03,0,0,0,3,0,2011.0,11.0,4.0,2015.0,4.0,3.0, Card II TYPE,1209.81,None,None,2015.0,0.0,263.25,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,M2,2011-11-28,VALID,PPL,Open,Female,Western,RENTED,55.0,Three Full Years,7.0,0.0,22.0,2015-04-03,0,0,6,3,0,2011.0,11.0,28.0,2015.0,4.0,3.0, Card II TYPE,751.695,None,None,1844.29,5.0,272.80000000000001,604506.0,0,7,3,3,3,2,0,3,3,1,3,0,0,0,0,0,0,0,1,0,0,1,0
2,M3,2011-12-06,VALID,KLA,Open,Male,Eastern,RENTED,64.0,Three Full Years,1.0,5.0,17.0,2016-04-03,0,0,0,3,0,2011.0,12.0,6.0,2016.0,4.0,3.0, Card II TYPE,1064.385,None,None,2012.8200000000002,0.0,194.85000000000002,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,M4,2011-10-28,VALID,MXX,Open,Female,Northern,RENTED,66.0,Three Full Years,6.0,14.0,22.0,2015-04-03,0,0,0,3,0,2011.0,10.0,28.0,2015.0,4.0,3.0, Card II TYPE,963.375,None,None,2010.53,0.0,172.0,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,M5,2015-01-18,VALID,PRP,Open,,Western,RENTED,,Full Year,,,,2016-01-03,0,0,1,3,0,2015.0,1.0,18.0,2016.0,1.0,3.0, Card II TYPE,839.895,None,None,1293.1800000000001,0.0,17.599999999999998,604506.0,0,76,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
5,M6,2013-09-05,VALID,KLA,Open,,Eastern,BOUGHT,,Three Full Years,,,,2015-09-03,0,0,0,2,0,2013.0,9.0,5.0,2015.0,9.0,3.0,Paper based/Post,1077.72,None,None,2182.6900000000001,36.0,404.55000000000001,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,M7,2012-07-05,VALID,KLA,Open,,Eastern,BOUGHT,,Three Full Years,,,,2015-04-03,0,0,0,3,0,2012.0,7.0,5.0,2015.0,4.0,3.0, Card I TYPE,839.895,None,None,1029.5799999999999,0.0,262.09999999999997,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,M8,2011-12-01,VALID,PWM,Open,Female,Eastern,RENTED,49.0,Three Full Years,10.0,5.0,21.0,2015-03-20,0,0,0,3,0,2011.0,12.0,1.0,2015.0,3.0,20.0, Card I TYPE,1168.965,None,None,2147.6300000000001,0.0,435.05000000000001,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,M9,2011-10-13,VALID,PWR,Open,Female,Eastern,RENTED,63.0,Three Full Years,6.0,5.0,17.0,2015-03-09,0,0,0,3,0,2011.0,10.0,13.0,2015.0,3.0,9.0, Card II TYPE,643.9649999999999,None,None,2142.04,0.0,231.39999999999998,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,M10,2011-11-17,VALID,PWM,Open,Male,Western,RENTED,79.0,Three Full Years,5.0,14.0,17.0,2015-03-11,0,0,0,3,0,2011.0,11.0,17.0,2015.0,3.0,11.0, Card II TYPE,1171.6950000000002,None,None,1814.4000000000001,0.0,101.85000000000001,604506.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
