"","Address","Scheme","Staus","Gender","Region","Sale.of.Equipment.Status","Age","Equipment.Warranty","Salary.Slab","Professional.Info","Age.of.Home","Categ","Query_freq","Realization_monnos","Default_number","Commence_year","Commence_month","Commence_day","Warrenty_year","Warrenty_month","Warrenty_day","Cardtype","schemecost","defaultsum","Hours","Posthours","daraGB","Default","query_days","usage_number","query_days.1","usage_number.1","LevelPaymentSettlement","LevelTech","Account","PaymentSettlement","Browsing","OperationalCapabilities","GeneralInformation","NoBrowse","Payment","FullPayment","Redirected","Nosupport.ThirdParty","SlowBrowse","Utilities","ExplanationofCharges","Change","MultipleItems.EntireBill","UpdatePaymentInformation","GeneralInquiry","Retention","CommenceDays","Warrentydays"
"2866","VALID","POP","Open","Female","Northern","RENTED",57,"Three Full Years",6,0,17,0,0,"3",0,2013,7,20,2015,7,20," Card II TYPE",3207,882,5899,1,1591,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,-110
"7856","VALID","PWP","Open","Male","Northern","BOUGHT",61,"Three Full Years",7,14,17,0,0,"3",0,2012,6,6,2015,3,24," Card II TYPE",1873,882,34,1,1018,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,6
"4076","VALID","PRM","Open","Male","Northern","RENTED",45,"Three Full Years",4,0,21,0,0,"3",0,2014,2,6,2016,2,6," Card II TYPE",2623,882,5127,695,2201,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,-311
"8798","VALID","MXX","Open","Male","Eastern","RENTED",48.71666667,"Three Full Years",8,0,17,0,1,"3",0,2011,11,12,2015,3,9," Card II TYPE",1028,882,4175,479,4498,0,53,"3",53,"3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1238,21
"9369","VALID","CHC","Open","Female","Northern","RENTED",36,"Three Full Years",6,0,12,0,0,"3",0,2014,12,2,2016,11,11," Card II TYPE",1697,882,5350,120,1922,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,-586
"454","VALID","PWP","Open","Male","Western","RENTED",70,"Three Full Years",5,14,7,0,0,"3",0,2011,10,17,2015,3,26," Card II TYPE",1950,882,1866,1,3005,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263,4
"5260","VALID","CHC","Open","Male","Northern","RENTED",51.18916667,"Three Full Years",4,0,7,0,2,"3",0,2014,7,16,2016,7,24," Card II TYPE",2432,882,8188,1,1168,0,37,"3",37,"3",1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,259,-479
"8888","VALID","PPL","Closed","Female","Eastern","RENTED",44,"Three Full Years",3,0,12,0,1,"3",0,2013,9,17,2015,9,17," Card II TYPE",2367,882,628,1,5100,0,25,"3",25,"3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,563,-167
"5492","VALID","PRM","Open","Female","Eastern","RENTED",45.405,"Three Full Years",4,20,7,0,0,"3",0,2014,8,8,2016,8,8," Card II TYPE",2356,882,7330,836,3791,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,-493
"4547","VALID","PRM","Open","Female","Eastern","RENTED",56,"Three Full Years",4,0,17,0,2,"3",0,2014,4,19,2016,4,19," Card II TYPE",3267,882,2375,537,2038,0,61,"3",61,"3",1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,346,-384
