"","outlist"
"1",0
"2",0.01
"3",500
"4",0.17
"5",0.413461538461538
"6",0.920260782347041
"7",0.57057219920313
"8",0
"9",0.01
"10",500
"11",0.18
"12",0.413461538461538
"13",0.923771313941825
"14",0.571245176877862
"15",0
"16",0.01
"17",1000
"18",0.17
"19",0.432692307692308
"20",0.909729187562688
"21",0.586451904909011
"22",0
"23",0.01
"24",1000
"25",0.18
"26",0.423076923076923
"27",0.913239719157472
"28",0.578262124711316
"29",0
"30",0.01
"31",1500
"32",0.17
"33",0.423076923076923
"34",0.904212637913741
"35",0.576440155786781
"36",0
"37",0.01
"38",1500
"39",0.18
"40",0.423076923076923
"41",0.911735205616851
"42",0.577960174561429
"43",0
"44",0.1
"45",500
"46",0.17
"47",0.423076923076923
"48",0.898194583751254
"49",0.575211678832117
"50",0
"51",0.1
"52",500
"53",0.18
"54",0.413461538461538
"55",0.902206619859579
"56",0.567054442562986
"57",0
"58",0.1
"59",1000
"60",0.17
"61",0.423076923076923
"62",0.898194583751254
"63",0.575211678832117
"64",0
"65",0.1
"66",1000
"67",0.18
"68",0.413461538461538
"69",0.902206619859579
"70",0.567054442562986
"71",0
"72",0.1
"73",1500
"74",0.17
"75",0.423076923076923
"76",0.898194583751254
"77",0.575211678832117
"78",0
"79",0.1
"80",1500
"81",0.18
"82",0.413461538461538
"83",0.902206619859579
"84",0.567054442562986
"85",0
"86",0.3
"87",500
"88",0.17
"89",0.471153846153846
"90",0.87913741223671
"91",0.613510560035426
"92",0
"93",0.3
"94",500
"95",0.18
"96",0.442307692307692
"97",0.889669007021063
"98",0.590862356092969
"99",0
"100",0.3
"101",1000
"102",0.17
"103",0.471153846153846
"104",0.87913741223671
"105",0.613510560035426
"106",0
"107",0.3
"108",1000
"109",0.18
"110",0.442307692307692
"111",0.889669007021063
"112",0.590862356092969
"113",0
"114",0.3
"115",1500
"116",0.17
"117",0.471153846153846
"118",0.87913741223671
"119",0.613510560035426
"120",0
"121",0.3
"122",1500
"123",0.18
"124",0.442307692307692
"125",0.889669007021063
"126",0.590862356092969
"127",1
"128",0.01
"129",500
"130",0.17
"131",0.442307692307692
"132",0.900200601805416
"133",0.593166764845333
"134",1
"135",0.01
"136",500
"137",0.18
"138",0.432692307692308
"139",0.905215646940822
"140",0.585510902865381
"141",1
"142",0.01
"143",1000
"144",0.17
"145",0.442307692307692
"146",0.899197592778335
"147",0.592948856202102
"148",1
"149",0.01
"150",1000
"151",0.18
"152",0.413461538461538
"153",0.903711133400201
"154",0.567351272194765
"155",1
"156",0.01
"157",1500
"158",0.17
"159",0.442307692307692
"160",0.899699097291876
"161",0.593057851239669
"162",1
"163",0.01
"164",1500
"165",0.18
"166",0.413461538461538
"167",0.90320962888666
"168",0.567252404356775
"169",1
"170",0.1
"171",500
"172",0.17
"173",0.403846153846154
"174",0.889167502507523
"175",0.555426269859029
"176",1
"177",0.1
"178",500
"179",0.18
"180",0.394230769230769
"181",0.89518555667001
"182",0.547394481551568
"183",1
"184",0.1
"185",1000
"186",0.17
"187",0.403846153846154
"188",0.889167502507523
"189",0.555426269859029
"190",1
"191",0.1
"192",1000
"193",0.18
"194",0.394230769230769
"195",0.895687061183551
"196",0.547488205519294
"197",1
"198",0.1
"199",1500
"200",0.17
"201",0.403846153846154
"202",0.889167502507523
"203",0.555426269859029
"204",1
"205",0.1
"206",1500
"207",0.18
"208",0.394230769230769
"209",0.895687061183551
"210",0.547488205519294
"211",1
"212",0.3
"213",500
"214",0.17
"215",0.461538461538462
"216",0.867101303911735
"217",0.602421532475828
"218",1
"219",0.3
"220",500
"221",0.18
"222",0.451923076923077
"223",0.879638916750251
"224",0.597086921567065
"225",1
"226",0.3
"227",1000
"228",0.17
"229",0.461538461538462
"230",0.867101303911735
"231",0.602421532475828
"232",1
"233",0.3
"234",1000
"235",0.18
"236",0.451923076923077
"237",0.879638916750251
"238",0.597086921567065
"239",1
"240",0.3
"241",1500
"242",0.17
"243",0.461538461538462
"244",0.867101303911735
"245",0.602421532475828
"246",1
"247",0.3
"248",1500
"249",0.18
"250",0.451923076923077
"251",0.879638916750251
"252",0.597086921567065
