,Account Number,Commence Date,Address,Scheme,Staus,Gender,Region , Sale of Equipment Status,Age,Equipment Warranty,Salary Slab,Professional Info,Age of Home,Equipment Warranty Expiry Date,Churn Date,Categ,Query_freq,Realization_monnos,Default_number,Commence_year,Commence_month,Commence_day,Warrenty_year,Warrenty_month,Warrenty_day,Cardtype,schemecost,Closetdefaultdate,defaultsum,Hours,Posthours,daraGB,YYYYMM
0,M1,2011-11-04 0:00:00,VALID,KLA,Open,Female,Northern,RENTED,70,Three Full Years,5,0,17,2015-04-03 0:00:00,0,0,0,3,0,2011,11,4,2011,11,4, Card II TYPE,1209.81,None,None,2015,0,263.25,604506
1,M2,2011-11-28 0:00:00,VALID,PPL,Open,Female,Western,RENTED,55,Three Full Years,7,0,22,2015-04-03 0:00:00,0,0,6,3,0,2011,11,28,2011,11,28, Card II TYPE,751.695,None,None,1844.29,5,272.8,604506
2,M3,2011-12-06 0:00:00,VALID,KLA,Open,Male,Eastern,RENTED,64,Three Full Years,1,5,17,2016-04-03 0:00:00,0,0,0,3,0,2011,12,6,2011,12,6, Card II TYPE,1064.385,None,None,2012.82,0,194.85,604506
3,M4,2011-10-28 0:00:00,VALID,MXX,Open,Female,Northern,RENTED,66,Three Full Years,6,14,22,2015-04-03 0:00:00,0,0,0,3,0,2011,10,28,2011,10,28, Card II TYPE,963.375,None,None,2010.53,0,172,604506
4,M5,2015-01-18 0:00:00,VALID,PRP,Open,,Western,RENTED,,Full Year,,,,2016-01-03 0:00:00,0,0,1,3,0,2015,1,18,2015,1,18, Card II TYPE,839.895,None,None,1293.18,0,17.6,604506
5,M6,2013-09-05 0:00:00,VALID,KLA,Open,,Eastern,BOUGHT,,Three Full Years,,,,2015-09-03 0:00:00,0,0,0,2,0,2013,9,5,2013,9,5,Paper based/Post,1077.72,None,None,2182.69,36,404.55,604506
6,M7,2012-07-05 0:00:00,VALID,KLA,Open,,Eastern,BOUGHT,,Three Full Years,,,,2015-04-03 0:00:00,0,0,0,3,0,2012,7,5,2012,7,5, Card I TYPE,839.895,None,None,1029.58,0,262.1,604506
7,M8,2011-12-01 0:00:00,VALID,PWM,Open,Female,Eastern,RENTED,49,Three Full Years,10,5,21,2015-03-20 0:00:00,0,0,0,3,0,2011,12,1,2011,12,1, Card I TYPE,1168.965,None,None,2147.63,0,435.05,604506
8,M9,2011-10-13 0:00:00,VALID,PWR,Open,Female,Eastern,RENTED,63,Three Full Years,6,5,17,2015-03-09 0:00:00,0,0,0,3,0,2011,10,13,2011,10,13, Card II TYPE,643.965,None,None,2142.04,0,231.4,604506
9,M10,2011-11-17 0:00:00,VALID,PWM,Open,Male,Western,RENTED,79,Three Full Years,5,14,17,2015-03-11 0:00:00,0,0,0,3,0,2011,11,17,2011,11,17, Card II TYPE,1171.695,None,None,1814.4,0,101.85,604506
