isin,buyvolume,sellvolume
isin0,0,0
isin1,135000,135000
isin2,0,0
isin3,135000,594000
isin4,0,0
isin5,0,0
isin6,3591000,162000
isin7,0,0
isin8,141750,468000
isin9,0,0
isin10,0,0
isin11,27000,81000
isin12,0,0
isin13,0,270000
isin14,9936000,9936000
isin15,7830000,8607600
isin16,351000,630000
isin17,0,0
isin18,31077000,31077000
isin19,0,27000
isin20,0,0
isin21,0,0
isin22,0,0
isin23,63000,320142.8571
isin24,4905000,16956000
isin25,540000,2317500
isin26,0,0
isin27,5492571.429,2835000
isin28,9706500,5238000
isin29,15957000,837000
isin30,23800500,18549000
isin31,0,0
isin32,1134000,1134000
isin33,9936000,9936000
isin34,706909.0909,155863.6364
isin35,67500,108000
isin36,216000,115838.7097
isin37,1080794.118,872100
isin38,0,45000
isin39,10449000,3933000
isin40,7038000,7722000
isin41,0,0
isin42,0,0
isin43,324000,4563000
isin44,0,0
isin45,293142.8571,461700
isin46,20250,40500
isin47,364500,49500
isin48,340728.2609,483157.8947
isin49,189000,1786050
isin50,465750,54000
isin51,0,3969000
isin52,0,0
isin53,0,3429000
isin54,0,0
isin55,0,0
isin56,0,0
isin57,0,0
isin58,0,0
isin59,0,0
isin60,0,0
isin61,0,0
isin62,0,1053000
isin63,0,0
isin64,999000,81000
isin65,0,0
isin66,837000,57375
isin67,5433750,1255500
isin68,36000,81000
isin69,0,765900
isin70,729000,393428.5714
isin71,5238000,1479000
isin72,0,0
isin73,0,0
isin74,567000,24975000
isin75,2835000,1611000
isin76,999000,9477000
isin77,0,0
isin78,0,0
isin79,0,0
isin80,0,0
isin81,0,0
isin82,0,0
isin83,0,3240000
isin84,760800,382628.5714
isin85,4671000,654000
isin86,5231250,2818800
isin87,1560000,2499000
isin88,4180500,2700000
isin89,0,0
isin90,8545500,821250
isin91,0,0
isin92,334125,594000
isin93,504000,256500
isin94,3690000,351000
isin95,0,0
isin96,8677800,8677800
isin97,0,0
isin98,2835000,486000
isin99,0,0
isin100,567000,837000
isin101,0,0
isin102,4239000,2700000
isin103,0,0
isin104,0,0
isin105,0,0
isin106,12720375,16020000
isin107,0,31077000
isin108,0,0
isin109,0,0
isin110,0,0
isin111,0,0
isin112,0,0
